[00:00:01 - 00:00:03] 好来说一下今天的训练
[00:00:03 - 00:00:12] 前蹲是对的
[00:00:12 - 00:00:20] 没问题啊
[00:00:20 - 00:00:22] 预蹲也就很好
[00:00:22 - 00:00:24] 你的预蹲包括你的前蹲
[00:00:24 - 00:00:26] 就不会像停举一样那种
[00:00:26 - 00:00:28] 下蹲的时候会慌
[00:00:28 - 00:00:29] 前蹲有一点点
[00:00:29 - 00:00:30] 预蹲就还好
[00:00:30 - 00:00:32] 是不是重量太轻啊
[00:00:32 - 00:00:41] 轻了你自己加一点
[00:00:41 - 00:00:44] 因为我是按照抓据的百分之六十三的
[00:00:44 - 00:00:47] 你的抓举其实力量是不变的
[00:00:47 - 00:00:50] 只不过说目前是下蹲能力弱
[00:00:50 - 00:00:53] 所以说这拉起来就显得你很轻
[00:00:53 - 00:00:55] 但是不要跳起来
[00:00:55 - 00:00:57] 脚不立地
[00:00:57 - 00:00:58] 前脚掌不立地
[00:00:58 - 00:00:59] 一下都跳起来了
[00:00:59 - 00:01:01] 然后再落地了
[00:01:01 - 00:01:03] 你下次可以尝试不踢踝的宽踢拉
[00:01:03 - 00:01:05] 脚踝不要立地
[00:01:05 - 00:01:06] 只有宽膝
