[00:00:01 - 00:00:11] 來看一下今天的訓練
[00:00:11 - 00:00:12] 可以啊
[00:00:13 - 00:00:15] 今天抓住稍微有點往前跳啊
[00:00:15 - 00:00:17] 往前跳的主要原因呢
[00:00:17 - 00:00:19] 是因為在硬拉的時候重心有點沒壓住
[00:00:19 - 00:00:21] 這個時候重心有點偏厚了
[00:00:21 - 00:00:23] 踩到腳後跟去了
[00:00:23 - 00:00:25] 然後發力呢又往前跑
[00:00:25 - 00:00:31] 他就會有點往前跳
[00:00:31 - 00:00:36] 這一個還不錯
[00:00:36 - 00:00:38] 這一個支撐的時候稍微有點往後掰
[00:00:38 - 00:00:40] 然後再往前
[00:00:40 - 00:00:46] 再往前搶重心的時候搶過頭了
[00:00:46 - 00:00:50] 這個也是有點往後掰
[00:00:50 - 00:00:53] 但是這一個後面的幾個重心都還不錯
[00:00:53 - 00:00:55] 貼身也還可以
[00:00:55 - 00:00:57] 支撐撐在這個地方的時候
[00:00:57 - 00:01:00] 注意把下巴收下來
[00:01:00 - 00:01:02] 就是低頭
[00:01:02 - 00:01:03] 然後呢在支撐的時候
[00:01:03 - 00:01:05] 你的兩頭上斜方
[00:01:05 - 00:01:12] 要往上去對抗槓0
[00:01:12 - 00:01:14] 杠铃路径再直一点
[00:01:14 - 00:01:16] 你的槓0換了一個圈圈啊
[00:01:17 - 00:01:20] 我還可以用了輕一點的重量做上挺
[00:01:20 - 00:01:23] 遇蹲上送的時候槓0不要不要这样上去
[00:01:23 - 00:01:25] 不要这样上去
[00:01:25 - 00:01:27] 上送的一瞬間你的下巴往後躲
[00:01:27 - 00:01:28] 槓0往上走
[00:01:28 - 00:01:39] 其他的沒問題
