[00:00:00 - 00:00:02] 好 来看一下今天的训练
[00:00:02 - 00:00:06] 期待一下60
[00:00:06 - 00:00:08] 好吧 那重量轻一点
[00:00:08 - 00:00:10] 还不错
[00:00:10 - 00:00:13] 今天这个前腿分出去了
[00:00:13 - 00:00:18] 可以啊
[00:00:18 - 00:00:20] 这个今天前腿分得很好
[00:00:20 - 00:00:21] 热身的时候
[00:00:21 - 00:00:25] 正式组前腿没分出去
[00:00:25 - 00:00:30] 你这个正式组像热身一样
[00:00:30 - 00:00:31] 敢分前腿多好
[00:00:31 - 00:00:34] 是不是上了点重量有点害怕
[00:00:34 - 00:00:40] 就健不挺是什么呢
[00:00:40 - 00:00:42] 重量越轻
[00:00:42 - 00:00:44] 它分腿的距离其实比较小
[00:00:44 - 00:00:46] 重量越重的时候
[00:00:46 - 00:00:47] 分腿的距离反而越大
[00:00:47 - 00:00:49] 你倒好你是反而来的
[00:00:49 - 00:00:51] 轻重量分腿分得大
[00:00:51 - 00:00:55] 大重量分腿分得小
[00:00:55 - 00:01:02] 对 今天还是前腿没分出去
[00:01:02 - 00:01:02] 然后还有一点呢
[00:01:02 - 00:01:03] 就是在支撑的时候
[00:01:03 - 00:01:06] 你的支撑的位置其实是对的
[00:01:06 - 00:01:07] 如果说你的
[00:01:07 - 00:01:10] 你的手大臂已经到耳朵后面的时候呢
[00:01:10 - 00:01:11] 你把手腕稍微立起来一点
[00:01:11 - 00:01:13] 不要完全让它被压
[00:01:13 - 00:01:16] 不要让它被压到下面
[00:01:16 - 00:01:21] 宽缩拉没问题
[00:01:21 - 00:01:33] 然后吸上膏抓还不错
[00:01:33 - 00:01:37] 吸上膏抓没问题
[00:01:37 - 00:01:39] 还要支撑呢
[00:01:39 - 00:01:39] 支撑吗
[00:01:39 - 00:01:41] 支撑可以
