[00:00:00 - 00:00:03] 你那个虎口是正常的
[00:00:03 - 00:00:05] 锁窝 锁窝会有捞减
[00:00:05 - 00:00:06] 痛吗
[00:00:06 - 00:00:08] 有没有那种火拉拉的感觉
[00:00:09 - 00:00:11] 今天他抓去抓到多少了
[00:00:11 - 00:00:14] 36 38 40 43
[00:00:14 - 00:00:15] 我靠45
[00:00:16 - 00:00:18] 这不一下又涨了7公斤了吗
[00:00:18 - 00:00:20] 那还说啥呢
[00:00:20 - 00:00:22] 牛逼就完了
[00:00:22 - 00:00:24] 但是硬拉重心有点压不住
[00:00:24 - 00:00:26] 到这个位置的时候老问题
[00:00:28 - 00:00:29] 前脚涨灯地
[00:00:30 - 00:00:31] 你不然的话
[00:00:32 - 00:00:34] 你这个做得还能非常的轻松
[00:00:34 - 00:00:38] 我45也有
[00:00:40 - 00:00:41] 可以牛逼
[00:00:44 - 00:00:45] 你这个高度也是够的
[00:00:45 - 00:00:47] 你看看你能你只要能在高抓的位置
[00:00:47 - 00:00:48] 去撑
[00:00:48 - 00:00:50] 那就代表你下层抓肯定是有
[00:00:50 - 00:00:52] 至于这个为什么调低是重心的问题
[00:00:52 - 00:00:53] 往前跳了看来
[00:00:53 - 00:00:55] 这个调呢
[00:00:55 - 00:00:56] 就是在支撑的时候
[00:00:56 - 00:00:57] 这一个拖在那里的
[00:00:57 - 00:00:58] 没有进肩撑的位置
[00:00:58 - 00:01:00] 不如果再靠后一点
[00:01:00 - 00:01:01] 你这个还是有的
[00:01:01 - 00:01:04] 你抓着吧
[00:01:04 - 00:01:06] 38感觉很轻
[00:01:06 - 00:01:09] 还拿到哪呀
[00:01:11 - 00:01:13] 你这个抓取下端抓
[00:01:13 - 00:01:15] 你怎么说也要抓两个绿片吧
[00:01:15 - 00:01:16] 对吧
[00:01:16 - 00:01:17] 你整个55公斤以上
[00:01:18 - 00:01:21] 这才是第一个目标
[00:01:24 - 00:01:25] 两个点啊
[00:01:25 - 00:01:27] 第一大重量支撑要赶进肩
[00:01:27 - 00:01:27] 不要趴后调
[00:01:27 - 00:01:29] 第二个硬拉的时候把重心踩稳了
[00:01:29 - 00:01:31] 重心这个问题是老问题
[00:01:31 - 00:01:36] 平时对的
[00:01:41 - 00:01:43] 60的切离推
[00:01:44 - 00:01:45] 切离推跟抓
[00:01:45 - 00:01:47] 下端抓的水平是差不多的
[00:01:48 - 00:01:50] 作为手印尼目前的就是把重心
[00:01:50 - 00:01:51] 做做好
[00:01:51 - 00:01:53] 下端抓应该也是在55到60之间
[00:01:53 - 00:01:54] 是有这个能力的
[00:01:54 - 00:01:57] 就是目前就已经具备了
[00:01:57 - 00:01:58] 抓60到60
[00:01:58 - 00:02:00] 抓55到60的一个能力
[00:02:01 - 00:02:02] 就把这个技术再西化一下
[00:02:02 - 00:02:02] 就行了
[00:02:02 - 00:02:04] 你这个翻还往前跳一步呢
[00:02:04 - 00:02:05] 什么鬼
[00:02:15 - 00:02:16] 这个差一点点
[00:02:17 - 00:02:17] 问题不大
