[00:00:00 - 00:00:03] 好,来评估一下你所有的动作
[00:00:03 - 00:00:16] 印拉是偏向传统的,是吧?
[00:00:16 - 00:00:19] 但是印拉是传统的动作
[00:00:19 - 00:00:22] 重心没有控好
[00:00:22 - 00:00:24] 如果说你要是做这种印拉的话
[00:00:24 - 00:00:25] 你在这个位置的时候
[00:00:25 - 00:00:27] 重心就不要往前脚掌跑了
[00:00:27 - 00:00:29] 你就踩在正中间
[00:00:29 - 00:00:31] 起动的时候
[00:00:31 - 00:00:34] 也要用脚掌的正中间去推地
[00:00:34 - 00:00:37] 需要你看你的脚后跟
[00:00:37 - 00:00:39] 这个时候是明显是偏前的
[00:00:39 - 00:00:45] 拉到这里,有偏后
[00:00:45 - 00:00:55] 踩稳了,顺蹲还可以
[00:00:55 - 00:01:02] 顺蹲站得比较窄
[00:01:02 - 00:01:10] 快没松,可以
[00:01:10 - 00:01:12] 对抗也可以,讨抗也可以
[00:01:12 - 00:01:22] 顺蹲整理是比较熟练的
[00:01:22 - 00:01:24] 这就是你上次说犯的大同样
[00:01:24 - 00:01:27] 也是存在的是重心的问题
[00:01:27 - 00:01:29] 首先在预备姿势的时候
[00:01:29 - 00:01:31] 像你做这种 翻铃的印拉
[00:01:31 - 00:01:33] 翻铃的印拉
[00:01:33 - 00:01:35] 你的整个脚掌的重心
[00:01:35 - 00:01:38] 它跟你的传统印拉是有一定的区别的
[00:01:38 - 00:01:40] 前面给我发的第一个视频
[00:01:40 - 00:01:42] 我给你说整个脚掌踩在正中间去蹬地
[00:01:42 - 00:01:44] 但如果说你是挺胸抬头
[00:01:44 - 00:01:45] 这种拉的话
[00:01:45 - 00:01:47] 重心踩在你的
[00:01:47 - 00:01:49] 就是
[00:01:49 - 00:01:51] 第一个魔术贴这个位置
[00:01:51 - 00:01:54] 你这个鞋上应该是有两个魔术贴的
[00:01:54 - 00:01:56] 靠近那个小腿的
[00:01:56 - 00:01:58] 那一个魔术贴的正下方
[00:01:58 - 00:02:01] 足弓偏前一点点的位置
[00:02:01 - 00:02:04] 在整个印拉的过程当中
[00:02:04 - 00:02:07] 始终感受,重心不变
[00:02:07 - 00:02:08] 你可以看到这个时候
[00:02:08 - 00:02:10] 你的重心时候会有点偏厚的
[00:02:10 - 00:02:12] 看他们脚趾头已经翘起来了
[00:02:12 - 00:02:14] 然后再往前跑
[00:02:14 - 00:02:15] 这个对我们来说
[00:02:15 - 00:02:16] 我们会称它为叫
[00:02:16 - 00:02:18] 摇摆式的
[00:02:18 - 00:02:19] 髋膝踝伸展
[00:02:19 - 00:02:21] 因为你蹬伸重心要偏前
[00:02:21 - 00:02:23] 结果印拉偏厚
[00:02:23 - 00:02:24] 髋膝踝伸展偏前
[00:02:24 - 00:02:26] 它就会有一个由后向前的转移
[00:02:26 - 00:02:34] 重心叫摇摆
[00:02:34 - 00:02:35] 接铃是对的
[00:02:35 - 00:02:37] 没有问题
[00:02:37 - 00:02:39] 下蹬重心有点前移
[00:02:39 - 00:02:41] 感觉是右侧骨盆往前旋转
[00:02:42 - 00:02:43] 因为到这里为止
[00:02:43 - 00:02:44] 重心都是没有变的
[00:02:44 - 00:02:46] 但是马上要到底的时候
[00:02:46 - 00:02:48] 就会发现你的整个右腿
[00:02:48 - 00:02:50] 会往前旋转
[00:02:50 - 00:02:51] 不能说旋转吧
[00:02:51 - 00:02:52] 就是你的右侧的骨盆
[00:02:52 - 00:02:56] 会往前旋转
[00:02:56 - 00:02:57] 看见没
[00:02:57 - 00:02:58] 这样的话你看一下
[00:02:58 - 00:02:59] 你右边的膝盖
[00:02:59 - 00:03:00] 它就会有一个往前
[00:03:00 - 00:03:02] 充的一个意思
[00:03:02 - 00:03:03] 左腿是对的
[00:03:03 - 00:03:04] 右腿是偏前的
[00:03:04 - 00:03:05] 你这个说起来
[00:03:05 - 00:03:06] 好像印拉的时候
[00:03:06 - 00:03:31] 好像也是的
[00:03:31 - 00:03:34] 好像是旋前的
[00:03:34 - 00:03:36] 平常在做的时候
[00:03:36 - 00:03:38] 就是你下次给我拍一下
[00:03:38 - 00:03:39] 正后方的伸蹲
[00:03:39 - 00:03:40] 或者说你自己有感受过的
[00:03:40 - 00:03:42] 你跟我说一下
[00:03:42 - 00:03:43] 就是说你伸蹲
[00:03:43 - 00:03:45] 或者是印拉大重量的时候
[00:03:45 - 00:03:47] 你会感觉你的右边的吃力
[00:03:47 - 00:03:51] 瘦力会不会更多一些
[00:03:51 - 00:03:53] 一周五到六次
[00:03:53 - 00:03:55] 五到六次是全是举动课吗
[00:03:55 - 00:03:57] 还是举动课和课课课
[00:03:57 - 00:03:58] 是分开来的
