[00:00:00 - 00:00:02] 我终于开启轮廊形势
[00:00:02 - 00:00:04] 我去不会吧
[00:00:04 - 00:00:05] 你都这么算下来
[00:00:05 - 00:00:07] 你欠我好几周的计划了
[00:00:08 - 00:00:09] 然后我们家的胶部
[00:00:10 - 00:00:11] 你还买喽
[00:00:12 - 00:00:12] 你是在哪买的
[00:00:12 - 00:00:13] 亚马逊上买的
[00:00:15 - 00:00:16] 还有铝小军的户外
[00:00:18 - 00:00:19] 我们家胶带
[00:00:20 - 00:00:21] 我们家的户纸胶带
[00:00:21 - 00:00:23] 应该算是所有的
[00:00:24 - 00:00:25] 市场上的胶带的
[00:00:25 - 00:00:26] 质量的天花板
[00:00:27 - 00:00:29] 价格还很有回
[00:00:29 - 00:00:30] 你可以去试一下
[00:00:31 - 00:00:32] 很好用
[00:00:35 - 00:00:36] 下蹲发还不错
[00:00:39 - 00:00:40] 郁蹲再稳一点
[00:00:40 - 00:00:41] 支撑那么稳
[00:00:41 - 00:00:42] 郁蹲有点晃
[00:00:43 - 00:00:43] 不要急
[00:00:48 - 00:00:49] 你知道为什么我会说
[00:00:49 - 00:00:50] 你郁蹲不稳不晃吗
[00:00:50 - 00:00:51] 不稳吗
[00:00:52 - 00:00:54] 你看一下你的槓铃的位置
[00:00:54 - 00:00:55] 在郁蹲的一瞬间
[00:00:55 - 00:00:57] 槓铃会瞬间脱离你的锁骨
[00:00:58 - 00:01:00] 能看得清楚吗
[00:01:01 - 00:01:02] 要不要截个图给你看一下
[00:01:09 - 00:01:09] 截不到
[00:01:09 - 00:01:11] 但是你自己回去放慢动作
[00:01:11 - 00:01:12] 自己看
[00:01:13 - 00:01:15] 槓铃下落的速度
[00:01:15 - 00:01:17] 还没你郁蹲的速度快了
[00:01:19 - 00:01:20] 放稳了
[00:01:21 - 00:01:22] 想要这点放稳了
[00:01:22 - 00:01:24] 它并不是说蹲的一定要多慢
[00:01:24 - 00:01:25] 而是腰椎腰稳点
[00:01:27 - 00:01:28] 腰椎不要乱动
[00:01:28 - 00:01:30] 你宽膝怀去动没关系
[00:01:30 - 00:01:32] 你腰椎屁股动一动转一转
[00:01:33 - 00:01:34] 它就容易这样子
[00:01:45 - 00:01:47] 现在的分腿支撑做得不错
[00:01:55 - 00:01:57] 前腿也慢慢的分出去了
[00:01:58 - 00:01:58] 还是牛逼的
[00:01:58 - 00:01:59] 整体
[00:02:02 - 00:02:03] 宽速拉是对的
[00:02:06 - 00:02:07] 可以
[00:02:09 - 00:02:10] 感觉宽速拉用
[00:02:10 - 00:02:12] 38拉的有点轻
[00:02:12 - 00:02:18] 宽速拉的实力应该是在
[00:02:19 - 00:02:20] 往60公斤以上拉的
