[00:00:01 - 00:00:03] 哈喽哈喽看一下今天的训练
[00:00:03 - 00:00:04] 分队顶的一天
[00:00:04 - 00:00:05] 三台进踪
[00:00:08 - 00:00:11] 没事多练练挺挺举的成绩就上去了
[00:00:16 - 00:00:20] 玉灯的时候重心在中间也不怕
[00:00:20 - 00:00:22] 在脚后跟也不怕
[00:00:22 - 00:00:24] 甚至在前脚掌都没关系
[00:00:24 - 00:00:28] 主要的点呢就是说你玉灯能否直下直上
[00:00:28 - 00:00:31] 有一些人他预备姿势重心在脚后跟
[00:00:31 - 00:00:33] 他预灯到底重心就跑到前脚掌去了
[00:00:33 - 00:00:35] 那样的话也不好对不对
[00:00:36 - 00:00:39] 所以你如果说感觉玉灯贵的话
[00:00:39 - 00:00:42] 最好的方法呢就是膝盖打开
[00:00:42 - 00:00:43] 他就不贵了
[00:00:43 - 00:00:45] 但如果说你膝盖打不开呢
[00:00:45 - 00:00:47] 往脚后跟放点重心他是一种方法
[00:00:47 - 00:00:49] 但上送的时候就是用脚后跟去等地
[00:00:49 - 00:00:51] 就是不用前脚掌去等地了
[00:00:51 - 00:00:56] 今天的分队还不错
[00:00:56 - 00:01:02] 可以
[00:01:03 - 00:01:13] 没啥毛病
[00:01:13 - 00:01:18] 他领很轻松
[00:01:18 - 00:01:21] 再一个上送
[00:01:21 - 00:01:28] 只称后脚打那么迟在马
[00:01:28 - 00:01:32] 后脚弯弯微微的弯一点
[00:01:32 - 00:01:38] 你后脚稍微弯一点点的话呢
[00:01:38 - 00:01:39] 他有一个好处
[00:01:39 - 00:01:42] 就是他的那个骨盆
[00:01:42 - 00:01:44] 他能端得更正
[00:01:44 - 00:01:46] 你想一想当你的后腿打得很直
[00:01:46 - 00:01:49] 后腿那一侧的卡腰肌是不是被拉长了
[00:01:49 - 00:01:50] 很紧张
[00:01:50 - 00:01:52] 那这个时候呢他就会拉动的你的骨盆
[00:01:52 - 00:01:53] 去做一个前悬
[00:01:53 - 00:01:54] 那就削屁股了
[00:01:54 - 00:01:56] 屁股一削那整个上半身
[00:01:56 - 00:01:57] 全都往前凑
[00:01:57 - 00:01:58] 往前趴
[00:02:02 - 00:02:03] 所以后腿的膝盖呢
[00:02:03 - 00:02:05] 他不用弯很多弯一点点
[00:02:05 - 00:02:08] 做一个那种厘米蹲的那种感觉
[00:02:08 - 00:02:09] 就可以了
[00:02:10 - 00:02:13] 然后今天上送支撑都还不错
[00:02:13 - 00:02:16] 上支的动作都是对的
[00:02:17 - 00:02:19] 熊猫拉也是对的
[00:02:19 - 00:02:24] 熊猫拉慢慢的开始挥挥挥不退了
[00:02:24 - 00:02:25] 不错
[00:02:25 - 00:02:40] 吵是什么玩意啊
[00:02:40 - 00:02:41] 听空感挺的
[00:02:41 - 00:02:43] 还没刚刚上众了挺的好的
[00:02:44 - 00:02:46] 后腿打太直啊
[00:02:46 - 00:02:56] 预备姿势兴趣挺凶
[00:02:56 - 00:02:57] 不只是后腿打太直
[00:02:57 - 00:02:59] 还有一个点呢就是吸气的时候
[00:02:59 - 00:03:00] 肚子没收住
[00:03:01 - 00:03:02] 这个时候你吸一口气
[00:03:02 - 00:03:04] 气在哪里呢在胸上
[00:03:04 - 00:03:05] 但是肚子要繃紧
[00:03:06 - 00:03:17] 这个比较好一些
[00:03:17 - 00:03:22] 后面时隔的分退要好一点
[00:03:22 - 00:03:32] 不过空感的话呢
[00:03:32 - 00:03:33] 他本身重量不重
[00:03:33 - 00:03:36] 所以说他更加偏向于是体感训练
[00:03:37 - 00:03:38] 所以空感训练呢
[00:03:38 - 00:03:39] 还是也是注意两个点
[00:03:39 - 00:03:40] 第一呢就是把肚子收紧
[00:03:40 - 00:03:42] 后腿膝盖弯曲一点
[00:03:42 - 00:03:43] 主要的目的呢都是为了
[00:03:43 - 00:03:44] 为了让核心更硬
[00:03:44 - 00:03:45] 让骨盆更正
[00:03:46 - 00:03:47] 然后第二个点呢就是
[00:03:47 - 00:03:49] 把槓琳的轨迹送送直
[00:03:49 - 00:03:51] 你的这个槓琳轨迹往哪里送
[00:03:51 - 00:03:52] 送的有点偏厚啊
[00:03:52 - 00:03:54] 所以说我上次不是给你发了
[00:03:54 - 00:03:55] 一个那个实力推的动作吗
[00:03:55 - 00:03:57] 不进间的实力推
[00:03:57 - 00:03:58] 转成进间的实力推
[00:03:58 - 00:04:00] 再不进间的借力推
[00:04:00 - 00:04:02] 转成进间的借力推
[00:04:02 - 00:04:03] 最后再去做挺曲
[00:04:03 - 00:04:04] 你要慢慢的学会
[00:04:04 - 00:04:06] 用这个实力推的槓琳的
[00:04:06 - 00:04:07] 轨迹和功率
[00:04:07 - 00:04:09] 用到挺曲里面去
