[00:00:00 - 00:00:02] 哈喽哈喽看一下今天的训练
[00:00:02 - 00:00:06] 习惯还有点总基本没啥问题
[00:00:06 - 00:00:09] 下轮状还能试一下吗
[00:00:09 - 00:00:13] 还好吧到
[00:00:13 - 00:00:18] 这一个支撑没做好
[00:00:18 - 00:00:20] 第二第一轮有第二个
[00:00:20 - 00:00:22] 支撑有点那个螃蟹
[00:00:22 - 00:00:25] 螃蟹手就代表有点有肩外拳
[00:00:25 - 00:00:27] 支撑的手不应该有大臂的旋转
[00:00:27 - 00:00:28] 特别是向后的肩外拳
[00:00:28 - 00:00:29] 这一组都不行
[00:00:31 - 00:00:33] 不要刻意的去做肩膀的旋转
[00:00:33 - 00:00:36] 就是纯粹的伸直加低头就行
[00:00:36 - 00:00:38] 其余的动作全是多余
[00:00:45 - 00:00:46] 感觉信心起来了
[00:00:46 - 00:00:48] 下轮状现在就是敢下敢
[00:00:48 - 00:01:04] 敢速度节奏都想都起来了
[00:01:04 - 00:01:06] 挺支撑对的没问题
