[00:00:00 - 00:00:02] 好来看一下他今天的训练
[00:00:02 - 00:00:05] 昨天的怎么没回啊
[00:00:05 - 00:00:10] 两天的一起做
[00:00:11 - 00:00:15] 哎昨天是打开了再点出去了吗
[00:00:15 - 00:00:22] 发力是对的
[00:00:22 - 00:00:36] 高范没什么问题
[00:00:36 - 00:00:40] 对的
[00:00:40 - 00:00:42] 第二个稍微有点砸
[00:00:42 - 00:00:45] 注意在注意那个
[00:00:45 - 00:00:47] 发力在这个脊膀的时候
[00:00:47 - 00:00:49] 赶紧出走不要再往上踢
[00:00:49 - 00:00:51] 他不想抓据
[00:00:51 - 00:00:53] 他没有什么登腿踢走这么一说的
[00:00:53 - 00:00:55] 登腿出走
[00:00:55 - 00:00:58] 所以不要先不用先体在处
[00:00:58 - 00:01:00] 就是出走快一点
[00:01:00 - 00:01:02] 不是速度啊意识
[00:01:02 - 00:01:04] 基本上刚能到肚脐眼左右
[00:01:04 - 00:01:06] 就可以开始出出折了
[00:01:06 - 00:01:09] 不需要等到到上胸再出走
[00:01:09 - 00:01:11] 这也不是什么大问题
[00:01:11 - 00:01:19] 稍微注意一下就行
[00:01:19 - 00:01:54] 没问题
[00:01:54 - 00:01:57] 遇蹲前接上诵的时候
[00:01:57 - 00:01:59] 注意保持腰椎的稳定
[00:01:59 - 00:02:01] 像你在预备姿势的时候
[00:02:01 - 00:02:03] 其实是先做了一个骨盆的前悬
[00:02:03 - 00:02:05] 然后再去做了一个趋宽
[00:02:05 - 00:02:07] 这样的话屁股有点靠后
[00:02:07 - 00:02:09] 出现这个动作主要的原因
[00:02:09 - 00:02:11] 是因为膝盖的外展
[00:02:11 - 00:02:12] 不太够
[00:02:12 - 00:02:13] 膝盖打开一点
[00:02:13 - 00:02:14] 屁股直接往下压就行了
[00:02:14 - 00:02:15] 重心不变
[00:02:15 - 00:02:18] 这也不是什么大问题
[00:02:18 - 00:02:22] 稍微注意一下就行
[00:02:22 - 00:02:23] 那这个还不错
[00:02:23 - 00:02:24] 正式组是对的
[00:02:24 - 00:02:26] 正式组的遇蹲没问题
[00:02:26 - 00:02:30] 哎呀你这个不挂小腿吗
[00:02:30 - 00:02:31] 你这个起动怎么起的
[00:02:31 - 00:02:33] 预备姿势挺胸
[00:02:33 - 00:02:35] 是胸往前顶
[00:02:35 - 00:02:36] 不是往后仰
[00:02:36 - 00:02:37] 你往后一仰
[00:02:37 - 00:02:39] 那个背脚变得那么直
[00:02:39 - 00:02:40] 肯定挂小腿
[00:02:40 - 00:02:44] 因为而且往后仰的时候
[00:02:44 - 00:02:46] 还容易导致你的臀位降低
[00:02:46 - 00:02:47] 臀位降低的话
[00:02:47 - 00:02:48] 这个起动骨势的
[00:02:48 - 00:02:51] 让什么蹬地的感觉都没有那么舒服
[00:02:52 - 00:02:54] 预备姿势高高好
[00:02:54 - 00:02:56] 就是在预备姿势做好的时候
[00:02:56 - 00:02:57] 你的挺胸想象的是
[00:02:57 - 00:02:59] 你的身前大概十零米左右
[00:02:59 - 00:03:00] 是有一面墙
[00:03:00 - 00:03:02] 你的挺胸是要把你的胸
[00:03:02 - 00:03:03] 往墙上去贴的那种感觉
[00:03:03 - 00:03:05] 不是说是往后仰
[00:03:05 - 00:03:10] 发力又进步
[00:03:10 - 00:03:12] 下蹲的支撑也比之前稳了不少
[00:03:12 - 00:03:14] 这点都是进步的
[00:03:14 - 00:03:16] 做到了30公斤
[00:03:16 - 00:03:22] 把预备姿势改一改
[00:03:22 - 00:03:24] 这个发力支撑是不错的
[00:03:24 - 00:03:25] 这个做好了
[00:03:25 - 00:03:27] 然后近期拿抓取的握曲
[00:03:27 - 00:03:29] 用墨棍多做做绕肩
[00:03:29 - 00:03:31] 慢慢适应一下后调
[00:03:31 - 00:03:33] 这样的话在底下支撑的时候
[00:03:33 - 00:03:34] 就没那么怕了
[00:03:34 - 00:03:38] 后蹲没问题
[00:03:38 - 00:03:39] 是对的
