[00:00:00 - 00:00:02] 哈喽看一下今天的训练
[00:00:05 - 00:00:06] 紫根腾是握的呀
[00:00:07 - 00:00:08] 这里腾的不一样
[00:00:12 - 00:00:13] 最近可以带助力带左
[00:00:14 - 00:00:15] 抓紧
[00:00:16 - 00:00:17] 这个很正常
[00:00:18 - 00:00:19] 关节头
[00:00:20 - 00:00:21] 这里痛这里痛
[00:00:24 - 00:00:25] 一锁握就痛
[00:00:28 - 00:00:30] 高翻就不要带助力带了
[00:00:33 - 00:00:34] 抓紧可以带给助力带
[00:00:40 - 00:00:41] 高翻不错
[00:00:49 - 00:00:50] 可以
[00:00:54 - 00:00:55] 抓紧的话
[00:01:01 - 00:01:02] 支撑还不错
[00:01:02 - 00:01:03] 下针有点不太稳定
[00:01:05 - 00:01:05] 很好
[00:01:10 - 00:01:11] 你这个什么下针
[00:01:11 - 00:01:13] 膝盖一会偏前一会偏后的
[00:01:17 - 00:01:18] 关系连都没做好
[00:01:18 - 00:01:20] 关系连都没做好的主要原因呢
[00:01:20 - 00:01:21] 是因为在下针的时候
[00:01:21 - 00:01:23] 这个屁股就外侧
[00:01:23 - 00:01:24] 破筋膜脏肌
[00:01:24 - 00:01:25] 这个外层没有参与
[00:01:27 - 00:01:28] 打开一点或者
[00:01:28 - 00:01:30] 或者这个脚尖外霸一点
[00:01:31 - 00:01:32] 膝盖外霸一点就有了
