[00:00:00 - 00:00:02] 哈喽看一下今天的訓練
[00:00:03 - 00:00:05] 這樣到50做兩朵困難
[00:00:05 - 00:00:07] 是什麼情況是踢看重還是動作不好
[00:00:08 - 00:00:10] 你這個手腕都繞到天上去了
[00:00:13 - 00:00:15] 這個就典型的出軸慢
[00:00:16 - 00:00:20] 就是等到手腕被槓鈴壓下來了
[00:00:20 - 00:00:23] 你的這個手腕還沒抬出去看了沒
[00:00:23 - 00:00:25] 而且特別是在發力的這個階段
[00:00:25 - 00:00:27] 還是一個手腕內扣的階段
[00:00:27 - 00:00:29] 所以說這個最主要的原因呢
[00:00:29 - 00:00:32] 是在發力的那一瞬間的手腕內扣
[00:00:34 - 00:00:36] 為什麼手腕內扣呢就是沒挺胸
[00:00:37 - 00:00:38] 因為胸挺出來肩膀就在後面
[00:00:38 - 00:00:39] 喇叭的手腕伸直
[00:00:39 - 00:00:41] 它槓鈴也能跌倒發力一點
[00:00:41 - 00:00:43] 但是因為你沒有挺胸
[00:00:43 - 00:00:44] 肩膀在前面
[00:00:44 - 00:00:45] 這個時候槓鈴和大腿之間
[00:00:45 - 00:00:46] 它會有一定的空隙
[00:00:46 - 00:00:48] 需要用手腕內扣才能打倒
[00:00:49 - 00:00:50] 那這樣肯定就不太好了
[00:00:52 - 00:00:54] 所以說呃這一點要稍微注意一下
[00:00:55 - 00:00:57] 挺胸挺胸了之後
[00:00:57 - 00:00:58] 然後把手腕放平
[00:00:58 - 00:01:01] 最後呢發力完了之後出軸做快一點
[00:01:01 - 00:01:02] 不要默契
[00:01:04 - 00:01:05] 那就最後出軸接不動
[00:01:05 - 00:01:07] 發力其實還不錯的
[00:01:09 - 00:01:10] 抓姿是對的
[00:01:11 - 00:01:18] 嗯抓姿很好
[00:01:21 - 00:01:22] 可以這個沒問題
