[00:00:00 - 00:00:04] 好了我看一下今天的训练
[00:00:04 - 00:00:06] 这个视频是没有自制网上抓吗
[00:00:06 - 00:00:09] 这个是对的
[00:00:09 - 00:00:12] 只要不能再往后偏了
[00:00:12 - 00:00:17] 就是不看这里啊
[00:00:17 - 00:00:19] 槓铃肩膀
[00:00:19 - 00:00:24] 然后和重心在一条线上就可以了
[00:00:24 - 00:00:25] 不要移到红线啊
[00:00:25 - 00:00:30] 就是目准这个视频的这个感觉是对的
[00:00:30 - 00:00:33] 难道不是因为低头槓铃才带脑袋后面吗
[00:00:33 - 00:00:35] 槓铃是带脑袋后面啊
[00:00:35 - 00:00:40] 但是槓铃不要带重心后面
[00:00:46 - 00:00:48] 紧后的这个确实是有点往后掰的
[00:00:48 - 00:00:50] 但是最终的点是对的
[00:00:50 - 00:00:51] 就是如果说你是看过程
[00:00:51 - 00:00:53] 就是槓铃是有点偏后的
[00:00:53 - 00:00:54] 但是如果说你到底
[00:00:54 - 00:00:56] 你看槓铃拉回来的可能
[00:00:56 - 00:00:58] 所以说在这个位置的时候
[00:00:58 - 00:00:59] 是对的
[00:00:59 - 00:01:01] 但是要一步到位
[00:01:01 - 00:01:02] 你不能先
[00:01:02 - 00:01:04] 就比如说你看槓铃现在这个位置
[00:01:04 - 00:01:07] 它一边往下蹲是一边往前的
[00:01:07 - 00:01:09] 如果说我发一条线的话呢
[00:01:09 - 00:01:14] 就是你刚刚的槓铃轨迹是这样走的
[00:01:14 - 00:01:31] 它的杠铃轨迹并不是这样走的
[00:01:31 - 00:01:34] 你知道吗
[00:01:38 - 00:01:40] 这边的宽宽选多了
[00:01:40 - 00:01:42] 有宽选前
[00:01:46 - 00:01:48] 哦不对
[00:01:57 - 00:01:59] 从这个视频当中
[00:01:59 - 00:02:00] 呃
[00:02:00 - 00:02:02] 你看出一些就是
[00:02:02 - 00:02:04] 其他的问题
[00:02:04 - 00:02:07] 就像你在分腿这一瞬间就是
[00:02:07 - 00:02:08] 左髋比较高
[00:02:08 - 00:02:10] 右髋比较低
[00:02:10 - 00:02:13] 就是你这边的宽要比这边的宽要低一点
[00:02:13 - 00:02:15] 呃
[00:02:15 - 00:02:17] 有可能是你的髋关节
[00:02:17 - 00:02:21] 有点往左边旋转
[00:02:21 - 00:02:23] 也就是说你的左髋相对于你的右髋来说
[00:02:23 - 00:02:26] 它会有点悬前
[00:02:26 - 00:02:31] 你回头可以做一些测试
[00:02:31 - 00:02:33] 你看看在网上能不能收到
[00:02:33 - 00:02:35] LAIC测试
[00:02:36 - 00:02:38] 体态测试
[00:02:38 - 00:02:40] 叫左
[00:02:40 - 00:02:46] 左边的髋关节
[00:02:46 - 00:02:50] 悬前
[00:02:50 - 00:02:52] 左髋悬前的测试
[00:02:52 - 00:02:55] 这个网上必占啊
[00:02:55 - 00:02:57] 都应该也有的
[00:02:57 - 00:03:01] 今天抓字都是先撑到后面
[00:03:01 - 00:03:03] 然后再往前掰了
[00:03:03 - 00:03:05] 直接往正上方伸出就可以了
[00:03:05 - 00:03:07] 这个还不错
[00:03:07 - 00:03:14] 所以紧后就是让你练紧后
[00:03:14 - 00:03:16] 抓字紧后接力推这些项目
[00:03:16 - 00:03:18] 都是为了更好的感受
[00:03:18 - 00:03:20] 纲联的轨迹
[00:03:20 - 00:03:26] 直下直上
[00:03:26 - 00:03:28] 其实有的还不错的
[00:03:28 - 00:03:30] 个别几个有点偏红
[00:03:30 - 00:03:32] 稍微注意一下就行
