[00:00:00 - 00:00:02] 好了 看一下今天的训练
[00:00:02 - 00:00:08] 我一直专注重心 支撑就一直掉
[00:00:08 - 00:00:10] 好 我看一下
[00:00:10 - 00:00:12] 刚才有没有什么提示
[00:00:12 - 00:00:21] 你这个下蹲抓其实还是你的肩膀
[00:00:21 - 00:00:24] 就是只有进肩 没有对抗
[00:00:24 - 00:00:26] 就是你为了进肩
[00:00:26 - 00:00:29] 你会非常多的让你的支撑去往后掰它
[00:00:29 - 00:00:31] 这就导致了你的走
[00:00:31 - 00:00:36] 我没有感觉到你有想要往正上方的天花板上去对抗的感受
[00:00:36 - 00:00:38] 只有就是说我要到这个位置
[00:00:38 - 00:00:41] 却没有想过我要在这个位置去往上顶住
[00:00:41 - 00:00:44] 所以不但要撑得快 还要撑得硬
[00:00:44 - 00:00:46] 让你这个无限制的往后掰的话
[00:00:46 - 00:00:52] 它其实是已经超过了我们靠骨骼结构去支撑的角度
[00:00:52 - 00:00:56] 从来它就很容易失败
[00:00:56 - 00:00:59] 因为支撑我们对支撑有一个描述
[00:00:59 - 00:01:01] 叫肩背斜同支撑
[00:01:01 - 00:01:05] 肩所指的是三角肌背所指的是上斜方
[00:01:05 - 00:01:07] 像你这个如果说全部撑在后面的话
[00:01:07 - 00:01:10] 你会发现你全部是靠你的背来去支撑的
[00:01:10 - 00:01:12] 你的肩膀基本上没有参与
[00:01:12 - 00:01:19] 所以想要搞定这一个点
[00:01:19 - 00:01:22] 就是说无非就是两个要素
[00:01:22 - 00:01:24] 第一个要素就是在支撑的时候
[00:01:24 - 00:01:26] 你施加一个就是往上对抗的意识
[00:01:26 - 00:01:29] 其实你发力到支撑中间的速度显接得非常的棒
[00:01:29 - 00:01:31] 缺乏了对抗的意识
[00:01:31 - 00:01:34] 就好比是上面有一个非常重的东西要压着你
[00:01:34 - 00:01:37] 你要把它往上推起来 往上顶起来
[00:01:37 - 00:01:40] 把钢铃往正上顶到天花板上去那种感受
[00:01:40 - 00:01:41] 这是第一个点
[00:01:41 - 00:01:44] 第二个点就是下蹲的时候
[00:01:44 - 00:01:46] 膝盖稍微的打开一点
[00:01:46 - 00:01:48] 或者膝盖实在打不开
[00:01:48 - 00:01:49] 我们上次做的那个测试
[00:01:49 - 00:01:53] 你站距可以站宽一点点
[00:01:53 - 00:01:54] 这个是重心的问题
[00:01:54 - 00:01:57] 这个重心的话偏厚了
[00:01:57 - 00:02:00] 你想的重心重心还是容易出问题
[00:02:00 - 00:02:03] 我感觉这个就是你的心理问题
[00:02:03 - 00:02:05] 因为想了少点去发力
[00:02:05 - 00:02:08] 从来导致引拉过度的非常的快
[00:02:08 - 00:02:10] 因为你上次单独做引拉的时候
[00:02:10 - 00:02:12] 我没有看到有这种失败
[00:02:14 - 00:02:16] 所以关于重心这一个点的话
[00:02:16 - 00:02:19] 你按照我说的热身的时候
[00:02:19 - 00:02:22] 踩个小片子并且把视频拍下来给我看
[00:02:22 - 00:02:26] 这样的话我们才能一步一步地去纠正
[00:02:26 - 00:02:28] 因为我发现
[00:02:28 - 00:02:30] 你如果说光注意的话
[00:02:30 - 00:02:31] 好像没有用
[00:02:31 - 00:02:33] 因为这个习惯应该是很久了
[00:02:33 - 00:02:56] 高翻在发力顶点那一瞬间
[00:02:56 - 00:02:58] 你看看能不能把你的宽稍微再打直眼
[00:02:58 - 00:03:00] 你发现这个时候你的宽角
[00:03:00 - 00:03:02] 其实是没有完全伸出来
[00:03:02 - 00:03:04] 没有完全伸出来
[00:03:04 - 00:03:07] 宽速拉就注意这一个点就可以了
[00:03:07 - 00:03:09] 节奏什么的都是对的
[00:03:10 - 00:03:11] OK
