[00:00:00 - 00:00:02] 哈喽看一下今天的训练没有被露
[00:00:02 - 00:00:03] 没有被露
[00:00:05 - 00:00:08] 我刚下班风太大
[00:00:09 - 00:00:11] 每天休息后天练可以没问题
[00:00:15 - 00:00:16] 每天休息没关系
[00:00:16 - 00:00:18] 然后你可以换成后天练
[00:00:20 - 00:00:22] 下周不需要女感的
[00:00:23 - 00:00:24] 一天计划提前练
[00:00:25 - 00:00:26] 那也没必要
[00:00:27 - 00:00:29] 明天练不了就后天练就可以了
[00:00:30 - 00:00:31] 我先看一下你的动作
[00:00:44 - 00:00:45] 稍等一下
[00:00:45 - 00:00:54] 前灯感觉做得比后灯
[00:00:55 - 00:00:55] 要舒服
[00:00:57 - 00:00:59] 不过在下蹲的那一瞬间
[00:00:59 - 00:01:00] 你要注意的就是
[00:01:01 - 00:01:02] 脚掌
[00:01:03 - 00:01:05] 不要有一个脚趾头翘起来的这种感受
[00:01:08 - 00:01:10] 因为你要确保的就是在启动的一瞬间
[00:01:10 - 00:01:13] 你的整个脚的受力是均匀的
[00:01:13 - 00:01:14] 是财稳的状态
[00:01:25 - 00:01:26] 其他的做的没有问题
[00:01:31 - 00:01:40] 对的前遇蹲也做得很好
[00:01:40 - 00:01:42] 感觉你这个前遇蹲你要这个架子
[00:01:42 - 00:01:43] 如果用在
[00:01:46 - 00:01:48] 用在翻的阶铃上面会很棒
[00:01:48 - 00:01:53] 翻的话你稍等一下
