[00:00:00 - 00:00:02] 好了,看一下今天的训练
[00:00:02 - 00:00:09] 是对的呀
[00:00:10 - 00:00:21] 下方的时候,就是间内旋的时候多一点
[00:00:21 - 00:00:23] 今天的抓据发力有点不太好
[00:00:24 - 00:00:27] 第二个还不错,第一个有点往前跳
[00:00:27 - 00:00:31] 抓起来好奇怪
[00:00:31 - 00:00:33] 咋还挂上去中台了呢
[00:00:33 - 00:00:49] 咋得歪了
[00:00:49 - 00:00:51] 今天这个,怎么办
[00:00:51 - 00:00:55] 都有点往前跳吧
[00:00:55 - 00:00:57] 半个脚掌左右
[00:00:57 - 00:00:59] 你往后跳的没关系,不要往前跳
[00:01:01 - 00:01:08] 然后,像你的预备姿势的话
[00:01:08 - 00:01:11] 钢铃需要再放深一点
[00:01:11 - 00:01:13] 预备姿势的时候
[00:01:13 - 00:01:15] 钢铃的位置太靠前了
[00:01:15 - 00:01:21] 太靠前了
[00:01:21 - 00:01:23] 稍作后移，实在不行的话
[00:01:23 - 00:01:25] 如果感觉钢铃放不进去的话
[00:01:25 - 00:01:28] 你只要把屁股往后捐
[00:01:28 - 00:01:30] 把屁股往后推
[00:01:30 - 00:01:32] 髋关节后移，胸部保持稳定
[00:01:32 - 00:01:34] 这样钢铃就能放进去了
[00:01:34 - 00:01:46] 都是有点往前跳的
[00:01:46 - 00:01:53] 怎么那么别扭啊
[00:01:53 - 00:01:55] 啊
[00:01:55 - 00:01:57] 今天的抓举发力有点不太对
[00:01:57 - 00:02:06] 把节奏做做好
[00:02:06 - 00:02:08] 虽然说在目的板上
[00:02:08 - 00:02:10] 但是你可以把分腿的声音
[00:02:10 - 00:02:11] 做响一点
[00:02:11 - 00:02:13] 这样来确保节奏没问题
[00:02:15 - 00:02:17] 就每次分腿的时候
[00:02:17 - 00:02:19] 你的举重鞋要跟目的板之间
[00:02:19 - 00:02:24] 有个啪啪啪的声音
[00:02:24 - 00:02:28] 然后预备没压好
[00:02:28 - 00:02:37] 还是有一点比上次好
[00:02:37 - 00:02:39] 还是有一点先做了一个
[00:02:39 - 00:02:41] 骨盆前旋,再加了一个预备
[00:02:41 - 00:02:43] 就预顿前那个骨盆前旋
[00:02:43 - 00:02:44] 那个动作不要有
[00:02:44 - 00:02:46] 就腰啊肚子那里不要动
[00:02:46 - 00:02:48] 直接屁股往下做就行了
[00:02:48 - 00:02:52] 上推还不错
[00:02:52 - 00:02:53] OK
