[00:00:01 - 00:00:04] 然後第三點呢,就是你的支撐的方向
[00:00:04 - 00:00:06] 稍微有一些偏厚
[00:00:06 - 00:00:08] 當你發力出來了之後呢
[00:00:08 - 00:00:14] 你的支撐手臂應該是往正上方的天花板上去對抗的感受
[00:00:14 - 00:00:19] 而不是為了進肩就把槓鈴刻意的去往後掰
[00:00:19 - 00:00:24] 所以你的手臂只需要往正上方的天花板上去對抗
[00:00:24 - 00:00:29] 然後把頭和胸低下來壓進來就很好了
[00:00:29 - 00:00:34] 三個點啊,第一就是起動重心不能抱著腳後跟
[00:00:34 - 00:00:37] 第二就是二段拉的時候手臂要始終放鬆
[00:00:37 - 00:00:41] 不要靠手臂去往裡面去夾啊
[00:00:41 - 00:00:45] 第三呢是支撐的時候要往,這個支撐還不錯
[00:00:45 - 00:00:52] 支撐要往正上方去對抗
[00:00:52 - 00:00:58] 關於這三點呢就是剛剛說的二段拉手臂要放鬆這一個點的話
[00:00:58 - 00:01:03] 嗯,你可以去看一下這個視頻
[00:01:04 - 00:01:06] 這個裡面講的呢就是二段拉的時候
[00:01:06 - 00:01:11] 當槓鈴過了膝蓋之後你的胸腔朝的正上方天花板上走
[00:01:11 - 00:01:14] 它能更好的幫助你做一個二段拉路線
[00:01:14 - 00:01:22] 從而讓手臂更加的放鬆
[00:01:22 - 00:01:26] 深蹲是對的啊
[00:01:26 - 00:01:31] 深蹲膝蓋打的沒有腳尖打的開
[00:01:31 - 00:01:33] 如果這種情況的話啊
[00:01:33 - 00:01:38] 你的腳尖就不需要朝的很外了
[00:01:38 - 00:01:43] 你可以把站距站快一點但是腳尖的話角度稍微回來一點
[00:01:44 - 00:01:48] 這樣的話呢至少能讓你的膝蓋和你的腳尖在一個朝向
[00:01:48 - 00:01:53] 嗯其他部位的發力和動作都是比較正確的
[00:02:04 - 00:02:07] 支腿抓
[00:02:07 - 00:02:11] 支腿抓大重量的時候它不是這麼做的
[00:02:11 - 00:02:13] 它不是這麼做的
[00:02:13 - 00:02:15] 大重量的杠铃蹲立抓起呢
[00:02:15 - 00:02:17] 就是你這個動作其實也是對的
[00:02:17 - 00:02:21] 只不過就是說輕重量的時候像你這麼做沒有關係
[00:02:21 - 00:02:23] 但是說大重量
[00:02:23 - 00:02:26] 發力的高度不夠了
[00:02:26 - 00:02:27] 那這個時候呢
[00:02:27 - 00:02:32] 我們就把它理解成是一個直腿翻加一個順勢的實力推
[00:02:34 - 00:02:36] 在那裡發力之後直接轉身加順勢推起
[00:02:37 - 00:02:40] 這樣對肩膀的壓力就就沒有
[00:02:40 - 00:02:42] 不然的話這樣的話對肩膀會有一定的壓力
[00:02:46 - 00:02:49] 包括這個支腿抓下方的時候也是要記住你的重心啊
[00:02:49 - 00:02:51] 下方重心是有點後遺的
[00:02:51 - 00:02:55] 如果說這個注意了之後還是沒有辦法去改善的話呢
[00:02:55 - 00:02:57] 你就看一下這個動作
[00:02:57 - 00:03:00] 那強制性的去把這個重心給它改過來
