[00:00:00 - 00:00:02] 哈喽 看一下今天的训练
[00:00:02 - 00:00:05] 简载还是按现在的地址这么拉 累了
[00:00:08 - 00:00:10] 对了 蛋白质
[00:00:10 - 00:00:11] 无心之地
[00:00:11 - 00:00:13] 碳水也适量的加一点
[00:00:13 - 00:00:15] 特别是训练结束之后
[00:00:19 - 00:00:20] 练一半就滴水汤的话
[00:00:20 - 00:00:23] 那就把碳水安排在训练之前
[00:00:25 - 00:00:28] 那训练之后就多补充一点蛋白质
[00:00:28 - 00:00:32] 我累了
[00:00:33 - 00:00:35] 下一周换成减载
[00:00:37 - 00:00:38] 今天是星期六
[00:00:38 - 00:00:40] 明天星期天是休息吗
[00:00:43 - 00:00:49] 我会帮你把那个计划改成减载周
[00:00:49 - 00:00:50] 放心好了
[00:00:55 - 00:00:57] 在下蹲的那一瞬间
[00:00:57 - 00:00:59] 你注意你的脚掌不需要去往后跑
[00:01:00 - 00:01:01] 看见没
[00:01:01 - 00:01:02] 你在下蹲的一瞬间
[00:01:02 - 00:01:03] 你的脚趾都会往后动一下
[00:01:03 - 00:01:05] 不要整个脚掌采稳直接下
[00:01:11 - 00:01:12] 其他的没有问题
[00:01:13 - 00:01:14] 比上周一六五多的十八
[00:01:14 - 00:01:15] OK 可以
[00:01:24 - 00:01:25] 前一蹲是对的
[00:01:26 - 00:01:28] 架上挺是可以一个一个挺的
[00:01:28 - 00:01:29] 没有任何问题
[00:01:29 - 00:01:29] 跑一遍了
[00:01:32 - 00:01:36] 练得突然困可能确实是没糖了
[00:01:39 - 00:01:40] 糖源不够了
[00:01:44 - 00:01:47] 你是下放接零的时候会比较费劲
[00:01:52 - 00:01:53] 今天的上挺动作其实不错
[00:01:54 - 00:01:56] 郁蹲上蹲支撑的节奏都做得很干脆
[00:02:04 - 00:02:06] 最主要的就是郁蹲压到抗力路线比较好
[00:02:07 - 00:02:09] 支撑的时候有点
[00:02:11 - 00:02:12] 支撑的手有点软
[00:02:19 - 00:02:21] 软的主要的问题是低头低的
[00:02:21 - 00:02:21] 稍微有点慢了
[00:02:28 - 00:02:29] 后面就挺了八十
[00:02:34 - 00:02:35] OK
[00:02:36 - 00:02:37] 大多数还不错
[00:02:39 - 00:02:41] 所以后面就注意一下
[00:02:41 - 00:02:42] 低头稍微低快一点
[00:02:42 - 00:02:44] 就在手臂快速伸直的同时
[00:02:44 - 00:02:45] 把下巴靠近锁骨
[00:02:46 - 00:02:48] 这样的话锁定上次就比较好了
[00:02:49 - 00:02:51] 然后后面降了点重量做也没有问题
[00:02:52 - 00:02:54] 不过越是轻重量
[00:02:54 - 00:02:55] 你越要去注意你的低头
[00:02:56 - 00:02:58] 在手臂伸直的一瞬间下巴靠锁骨
[00:03:02 - 00:03:02] OK
