[00:00:00 - 00:00:01] 好了看一下今天的训练
[00:00:03 - 00:00:05] 65高翻20克
[00:00:05 - 00:00:05] 今天三秒之后了
[00:00:05 - 00:00:07] 一旦拉已经接得很重
[00:00:07 - 00:00:08] 一段拉一段拉
[00:00:09 - 00:00:09] 重
[00:00:10 - 00:00:11] 体感的重
[00:00:11 - 00:00:13] 它跟三秒金没有直接的关系
[00:00:13 - 00:00:14] 硬拉感觉重
[00:00:14 - 00:00:16] 就整体的神经就已经比较疲劳了
[00:00:16 - 00:00:18] 下周跟你做个减载
[00:00:21 - 00:00:23] 现在我们是走了两周
[00:00:23 - 00:00:24] 比较累的
[00:00:24 - 00:00:25] 做一周减载
[00:00:25 - 00:00:27] 如果说两周强度
[00:00:27 - 00:00:28] 一周减载能持续循环下来的话
[00:00:28 - 00:00:30] 那这这种计划
[00:00:30 - 00:00:31] 就算属于是比较适合你的
[00:00:35 - 00:00:36] 今天的发力
[00:00:36 - 00:00:37] 其实带的还不错
[00:00:37 - 00:00:38] 做得很高
[00:00:47 - 00:00:49] 一段拉的启动
[00:00:49 - 00:00:51] 还是有一点点翘脚指头
[00:00:53 - 00:00:54] 这种翘脚指头的主要原因
[00:00:54 - 00:00:56] 就是因为你在预备姿势的时候
[00:00:56 - 00:00:58] 膝盖的外展没有积极的做出来
[00:00:59 - 00:01:00] 如果说你在一段拉
[00:01:00 - 00:01:01] 就是启动的那一瞬间
[00:01:01 - 00:01:02] 腿往上站的同时
[00:01:02 - 00:01:04] 膝盖往两边去打
[00:01:04 - 00:01:05] 往两边挖
[00:01:05 - 00:01:06] 外挖一点
[00:01:07 - 00:01:08] 用膝盖的外展来代替
[00:01:08 - 00:01:10] 它就是个膝盖往后
[00:01:10 - 00:01:12] 重心就能更好的控制住
[00:01:14 - 00:01:15] 高度这个是够的
[00:01:15 - 00:01:16] 你看
[00:01:16 - 00:01:17] 吃到了脖子的高度
[00:01:17 - 00:01:20] 脸出走的速度稍微慢了一点
[00:01:20 - 00:01:21] 从而导致躯开架子松掉了
[00:01:22 - 00:01:23] 发力还是可以的
[00:01:26 - 00:01:27] 这个高度都做得很高
[00:01:28 - 00:01:29] 不过后面你的出走
[00:01:29 - 00:01:30] 要稍微注意一下
[00:01:30 - 00:01:32] 不管是从发力到出走的时候
[00:01:33 - 00:01:33] 你要注意的
[00:01:33 - 00:01:35] 就是你的整个胸腔
[00:01:35 - 00:01:37] 是不能松掉的
[00:01:37 - 00:01:39] 胸腔一定要把它做得再硬一点点
[00:01:42 - 00:01:43] 因为你的高度也是够的
[00:01:44 - 00:01:46] 但是因为一接
[00:01:46 - 00:01:48] 稍微一松
[00:01:49 - 00:01:51] 从而导致它就很容易失败
[00:01:55 - 00:01:57] 所以今天的高翻是两个问题
[00:01:57 - 00:01:59] 第一就是一段拉往上站的时候
[00:01:59 - 00:02:01] 如果说注意了脚掌之后
[00:02:01 - 00:02:02] 它还是会出现往后
[00:02:02 - 00:02:03] 那就一段拉启动的时候
[00:02:03 - 00:02:04] 膝盖往两边外挖一点
[00:02:05 - 00:02:06] 脚掌去推地
[00:02:06 - 00:02:07] 膝盖往两边打开
[00:02:10 - 00:02:11] 第二就是接灵的时候
[00:02:11 - 00:02:13] 特别是在体力下降的时候
[00:02:13 - 00:02:14] 越是没体力的时候
[00:02:14 - 00:02:16] 你对于出走的时候
[00:02:16 - 00:02:17] 去干的要求就越要高
[00:02:17 - 00:02:18] 胸腔一定要硬
[00:02:28 - 00:02:30] 它会在生育下开
[00:02:38 - 00:02:38] OK
[00:02:38 - 00:02:40] 硬拉做得可以
[00:02:43 - 00:02:44] 这个电片做得很好
[00:02:46 - 00:02:47] 就感觉你在做硬拉的时候
[00:02:47 - 00:02:49] 重心是可以控制住的
[00:02:49 - 00:02:51] 而且还很轻松
[00:02:51 - 00:02:52] 这个都是对的
[00:02:53 - 00:02:55] 胶挡灯底深宽
[00:02:55 - 00:02:55] 很好
[00:02:58 - 00:02:58] 可以
[00:02:58 - 00:02:59] 硬拉是没问题的
[00:02:59 - 00:03:01] 那感觉做翻的时候
[00:03:01 - 00:03:02] 应该还是有点着急
[00:03:04 - 00:03:05] 你就是跟硬拉一样
[00:03:05 - 00:03:06] 整个胶挡去踩地
