[00:00:00 - 00:00:02] 哈喽我看一下今天的训练
[00:00:02 - 00:00:04] 我只能翻一个第二个就累了
[00:00:04 - 00:00:06] 那你可以中间多休息一会
[00:00:06 - 00:00:08] 擦个美粉喝口水
[00:00:08 - 00:00:09] 上次写的
[00:00:09 - 00:00:11] OK我已经帮你更新了训练计划
[00:00:11 - 00:00:20] 200年
[00:00:20 - 00:00:23] 哎今天的比上次有进步啊
[00:00:23 - 00:00:25] 这脚是才稳啊
[00:00:25 - 00:00:27] 价值的话
[00:00:27 - 00:00:29] 我看一下
[00:00:29 - 00:00:33] 一段拉
[00:00:33 - 00:00:35] 就是你一段拉的这个膝盖往上伸
[00:00:35 - 00:00:37] 这一点做的非常的好
[00:00:37 - 00:00:39] 因为你这个时候你看你的小腿是
[00:00:39 - 00:00:40] 是倾斜的对不对
[00:00:40 - 00:00:42] 然后启动的时候呢小腿伸直
[00:00:42 - 00:00:43] 这个是非常好
[00:00:43 - 00:00:45] 不过呢你要注意的一个点了
[00:00:45 - 00:00:47] 就是随着你的小腿往上伸的时候
[00:00:47 - 00:00:49] 你想想先伸膝盖
[00:00:49 - 00:00:53] 他会他是不是会出现那种屁股往上抬
[00:00:53 - 00:00:56] 所以当你的膝盖往上伸的时候
[00:00:56 - 00:00:58] 我允许你屁股往上抬
[00:00:58 - 00:01:01] 但是你把你的胸和你的屁股
[00:01:01 - 00:01:03] 一起去往上抬
[00:01:03 - 00:01:06] 绝对不要出现
[00:01:06 - 00:01:08] 膝盖一伸屁股往上抬一台胸
[00:01:08 - 00:01:09] 往下一趴
[00:01:09 - 00:01:14] 这就导致了一起动
[00:01:14 - 00:01:16] 你看上半身会往前冲一下
[00:01:16 - 00:01:19] 这样手臂就没有办法放松了
[00:01:19 - 00:01:21] 因为当你的上半身
[00:01:21 - 00:01:24] 因为当你的上半身往前冲了的时候呢
[00:01:24 - 00:01:25] 你的槓铃
[00:01:25 - 00:01:27] 他没办法做到放松了
[00:01:27 - 00:01:28] 你手臂在这个位置
[00:01:28 - 00:01:30] 想要槓铃天生你的手臂
[00:01:30 - 00:01:31] 就会往里面去夹
[00:01:31 - 00:01:34] 一夹手臂这个地方就很容易紧张
[00:01:34 - 00:01:37] 所以你如果起动的时候
[00:01:37 - 00:01:38] 你这个位置啊
[00:01:38 - 00:01:39] 你的膝盖正常伸
[00:01:39 - 00:01:40] 然后你的胸
[00:01:40 - 00:01:44] 你的屁股一起去往上走
[00:01:44 - 00:01:47] 那你的肩就不容易往前跑
[00:01:47 - 00:01:49] 槓铃就更贴身
[00:01:49 - 00:01:51] 还能保持手臂放松
[00:01:51 - 00:01:53] 这样就是最好的结果
[00:01:53 - 00:01:54] 不然的话你每次往前冲
[00:01:54 - 00:01:56] 你看你的手臂就会这样去往后夹一下
[00:01:56 - 00:01:57] 一夹的话呢
[00:01:57 - 00:01:59] 手臂就会有点紧张
[00:01:59 - 00:02:00] 一紧张
[00:02:00 - 00:02:01] 你看往后一夹发力
[00:02:01 - 00:02:02] 就容易往前顶
[00:02:02 - 00:02:03] 从而容易往前跳啊
[00:02:03 - 00:02:04] 等等问题
[00:02:04 - 00:02:05] 所以说我们先尝试
[00:02:05 - 00:02:07] 把这个一段拉
[00:02:07 - 00:02:08] 你可以想的是什么呢
[00:02:08 - 00:02:10] 预备姿势做好了之后
[00:02:10 - 00:02:11] 膝盖往上伸的时候
[00:02:11 - 00:02:13] 你的胸
[00:02:13 - 00:02:14] 带着槓铃往上走
[00:02:14 - 00:02:16] 用胸枪去引导槓铃往上走
[00:02:16 - 00:02:17] 或者说用你的下巴
[00:02:17 - 00:02:19] 引导槓铃往上走
[00:02:19 - 00:02:23] 但是比上次重心控制的
[00:02:23 - 00:02:24] 控制的非常控制的好
[00:02:24 - 00:02:26] 这点是有进步的
[00:02:26 - 00:02:27] 至少脚势才稳
[00:02:27 - 00:02:29] 发力还不错
[00:02:29 - 00:02:30] 就是注意一下
[00:02:30 - 00:02:31] 这个手臂
[00:02:31 - 00:02:33] 紧张
[00:02:33 - 00:02:34] 胸带着槓�走
[00:02:34 - 00:02:36] 就可以了
[00:02:36 - 00:02:38] 今天的支撑位置也是对的
[00:02:38 - 00:02:44] 这个还不错
[00:02:44 - 00:02:46] 今天就注意这一个点
[00:02:46 - 00:02:48] 其实整体都不错的
[00:02:48 - 00:02:50] 相对上次来说是有进步的
[00:02:50 - 00:02:51] 这个是槓铃支撑
[00:02:51 - 00:02:52] 进肩倾过头了
[00:02:52 - 00:02:53] 正常是撑到这里
[00:02:53 - 00:02:54] 然后你往下蹲的时候
[00:02:54 - 00:02:57] 槓铃往后偏了
[00:02:57 - 00:02:58] 因为这种正常槓铃
[00:02:58 - 00:03:00] 是应该后调的
[00:03:00 - 00:03:01] 你会
[00:03:01 - 00:03:04] 你现在是不是不太会后调啊
[00:03:04 - 00:03:05] 因为当明显槓铃
[00:03:05 - 00:03:06] 重心偏后的时候
[00:03:06 - 00:03:07] 这个是比较正常的
[00:03:07 - 00:03:08] 哪怕在职业运动员当中
[00:03:08 - 00:03:09] 这个也会出现
[00:03:09 - 00:03:10] 只不过我们这个时候
[00:03:10 - 00:03:13] 会选择把槓�往后扔
[00:03:13 - 00:03:15] 然后屁股往前逃槓
[00:03:15 - 00:03:18] 不然像你这样
[00:03:18 - 00:03:19] 明显槓铃重心偏后了
[00:03:19 - 00:03:20] 还要往前扔
[00:03:20 - 00:03:27] 它对肩膀会有负担
[00:03:27 - 00:03:28] 这个也是往后摆
[00:03:28 - 00:03:29] 然后又往前
[00:03:29 - 00:03:30] 其实这种的话
[00:03:30 - 00:03:32] 其实算是正常的容作
[00:03:32 - 00:03:33] 只不过现在
[00:03:33 - 00:03:34] 因为支撑的时候
[00:03:34 - 00:03:36] 在底部的平衡感
[00:03:36 - 00:03:37] 还没有很好的建立
[00:03:37 - 00:03:39] 所以时不时会掉一个没关系
[00:03:39 - 00:03:40] 我们继续用轻重量
[00:03:40 - 00:03:41] 因为你的大多数的
[00:03:41 - 00:03:43] 平衡感都是不错的
[00:03:43 - 00:03:46] 靠你的各数的积累
[00:03:46 - 00:03:47] 然后去增加
[00:03:47 - 00:03:49] 下蹲的平衡感之后
[00:03:49 - 00:03:51] 你下蹲的信心也好
[00:03:51 - 00:03:53] 下蹲的感受也好
[00:03:53 - 00:03:55] 会越来越强的
[00:03:55 - 00:03:56] 多练练就好了
[00:03:56 - 00:03:58] 只是你只要注意我今天
[00:03:58 - 00:04:00] 所说的就可以了
[00:04:00 - 00:04:11] 高翻还不错
[00:04:11 - 00:04:12] 55
[00:04:12 - 00:04:21] 高翻登场可以
[00:04:21 - 00:04:26] 分腿
[00:04:26 - 00:04:27] 分腿的时候
[00:04:27 - 00:04:30] 你的脚尖朝向是比较开的
[00:04:30 - 00:04:33] 但是膝盖又是比较朝前的
[00:04:33 - 00:04:35] 这就导致了你分腿的时候
[00:04:35 - 00:04:37] 你的膝盖还有你的脚尖
[00:04:37 - 00:04:39] 没有在一个方向
[00:04:39 - 00:04:40] 这个就不太好
[00:04:40 - 00:04:42] 所以在比较好的情况下
[00:04:42 - 00:04:44] 如果说你的脚尖要打开的话
[00:04:44 - 00:04:46] 你的膝盖一定要对准脚尖
[00:04:46 - 00:04:47] 大腿也跟着一起
[00:04:47 - 00:04:49] 外伸打出去
[00:04:49 - 00:04:51] 这个没体力了
[00:04:51 - 00:04:52] 第二个
