[00:00:00 - 00:00:02] 又希克
[00:00:02 - 00:00:16] 你这一周干嘛去啊
[00:00:16 - 00:00:17] 今天支撑不太好
[00:00:17 - 00:00:19] 硬拉启动也不太好
[00:00:19 - 00:00:20] 在硬拉启动的时候
[00:00:20 - 00:00:22] 钢铃的重量不要掉在上斜方
[00:00:22 - 00:00:24] 掉在肩甲骨
[00:00:24 - 00:00:26] 腹身稍微多一点
[00:00:26 - 00:00:30] 然后有点刮小腿
[00:00:30 - 00:00:32] 特别是启动了一下
[00:00:32 - 00:00:35] 然后还有支撑
[00:00:35 - 00:00:38] 今天的支撑
[00:00:38 - 00:00:40] 有点掰钢铃
[00:00:40 - 00:00:46] 这个还可以
[00:00:46 - 00:00:48] 这个还可以
[00:00:48 - 00:00:59] 这个热开的还不错
[00:00:59 - 00:01:02] 这个启动的状态这还可以
[00:01:02 - 00:01:04] 这样的话钢铃的重量就掉在背上
[00:01:04 - 00:01:10] 不是掉在你的上斜方机上
[00:01:10 - 00:01:11] 这样登地启动
[00:01:11 - 00:01:16] 它只要维持腰背的刚性就可以了
[00:01:16 - 00:01:18] 连不上网站
[00:01:18 - 00:01:33] 健身房网不好连不上网站
[00:01:33 - 00:01:34] 这个网站它
[00:01:34 - 00:01:35] 现在国内快了
[00:01:35 - 00:01:38] 国外怎么就变慢了
[00:01:38 - 00:01:38] 到时候不行
[00:01:38 - 00:01:40] 我们用另外一个软件做吧
[00:01:40 - 00:01:42] 你现在试一周看看
[00:01:42 - 00:01:43] OK
