[00:00:01 - 00:00:03] 哈喽 看一下今天的训练
[00:00:03 - 00:00:11] 武术翻刀很轻松
[00:00:11 - 00:00:13] 但这个重心是不是很难改
[00:00:13 - 00:00:18] 就是如何去判断自己的重心偏厚了
[00:00:18 - 00:00:20] 就看杠林在膝盖这一段的时候
[00:00:20 - 00:00:22] 脚趾头又没有翘起来
[00:00:22 - 00:00:23] 如果说后面在做的时候
[00:00:23 - 00:00:25] 你自己一边做一边观察
[00:00:25 - 00:00:26] 发现脚趾头翘起来的话
[00:00:26 - 00:00:29] 在硬拉的时候可以稍微慢一点点
[00:00:29 - 00:00:30] 然后用前脚掌去推敌
[00:00:30 - 00:00:33] 如果说实在感觉很差很差的话
[00:00:33 - 00:00:34] 你在预备姿势的时候
[00:00:34 - 00:00:36] 把脚后跟微微的离地
[00:00:36 - 00:00:37] 然后用直踩前脚掌
[00:00:37 - 00:00:38] 半个脚掌去硬拉
[00:00:38 - 00:00:46] 然后接铃其他的都还不错
[00:00:46 - 00:00:48] 上挺呢
[00:00:48 - 00:00:51] 就是存在了一个杠林上松路线不值的一个问题
[00:00:51 - 00:00:54] 你的杠林目前在这个位置的时候
[00:00:54 - 00:00:58] 上送他应该是往正上方的天花板上去伸直手臂
[00:00:58 - 00:01:00] 像你因为遇蹲的时候呢
[00:01:00 - 00:01:03] 他上送就一下子跑到前面去了
[00:01:03 - 00:01:05] 整个人的支撑他会整体的偏前
[00:01:05 - 00:01:07] 这样导致的后果呢
[00:01:07 - 00:01:08] 就是你在支撑的时候
[00:01:08 - 00:01:11] 你会更多的去感受到前腿受力
[00:01:11 - 00:01:14] 而感觉不到后腿的受力
[00:01:14 - 00:01:16] 容易导致往前趴
[00:01:16 - 00:01:19] 所以说你下次做的时候
[00:01:19 - 00:01:21] 这个是一个主观的意识
[00:01:21 - 00:01:28] 想的是上送的时候是杠林路线坐姿
[00:01:28 - 00:01:33] 这个杠林往前跑的
[00:01:33 - 00:01:34] 时间长了之后
[00:01:34 - 00:01:38] 这样前腿的压力会比较大
[00:01:38 - 00:01:42] 容易导致前腿的膝盖出现损伤商品
[00:01:42 - 00:02:03] 还有呢
[00:02:03 - 00:02:04] 就是说你在支撑的时候
[00:02:04 - 00:02:07] 你其实是用了一部分胸椎的伸展
[00:02:07 - 00:02:11] 来代替了肩关节的区区
[00:02:11 - 00:02:15] 所以说你后面在支撑的时候呢
[00:02:15 - 00:02:17] 手臂在往上对抗的时候
[00:02:17 - 00:02:18] 你试一下
[00:02:18 - 00:02:20] 把你的肋骨往下降一点点
[00:02:20 - 00:02:23] 把头稍微再往前压一点点
[00:02:23 - 00:02:25] 看看能不能压得进去
[00:02:25 - 00:02:26] 如果压不进去的话
[00:02:26 - 00:02:28] 目前这么做倒也行
[00:02:28 - 00:02:29] 但是这样做的话呢
[00:02:29 - 00:02:30] 需要非常强大的
[00:02:30 - 00:02:32] 核心的抗伸展的力量
[00:02:32 - 00:02:34] 就是腹肌的那一块的力量
[00:02:35 - 00:02:36] 这个挺杠不好
[00:02:36 - 00:02:38] 这个郁顿急了
[00:02:38 - 00:02:39] 别着急了
[00:02:39 - 00:02:40] 这个着急的体现呢
[00:02:40 - 00:02:42] 就是说你在郁顿的一瞬间
[00:02:42 - 00:02:44] 你是先做了一个骨盆的前悬
[00:02:44 - 00:02:47] 然后再去往下做区区的
[00:02:47 - 00:02:48] 这就导致了你郁顿的时候
[00:02:48 - 00:02:51] 腰椎的一个地方是不稳定的
[00:02:51 - 00:02:52] 那先转屁股再往下
[00:02:52 - 00:02:55] 会有明显的卡顿感
[00:02:55 - 00:02:57] 所以说像这个正常的感受呢
[00:02:57 - 00:02:58] 是在郁顿的时候
[00:02:58 - 00:02:59] 腰椎的那个部分
[00:02:59 - 00:03:01] 是稳定的固定的不动的
[00:03:01 - 00:03:02] 你只能像一下区区
[00:03:02 - 00:03:03] 不能去动腰椎
[00:03:03 - 00:03:09] 这个低头其实低的还不错
[00:03:09 - 00:03:11] 但是核心稍微有点松
[00:03:11 - 00:03:12] 肚子那一块要繃紧
[00:03:12 - 00:03:13] 重心下降的时候
[00:03:13 - 00:03:19] 这个上松的高度没松起来
[00:03:19 - 00:03:29] 目前停举当中就注意这些
[00:03:29 - 00:03:38] 把15帮太重了
[00:03:38 - 00:03:42] 硬拉的重心做的还不错
[00:03:42 - 00:03:48] 你们三个拉还不错的
[00:03:53 - 00:03:54] 脚下垫片的话
[00:03:54 - 00:03:55] 实量这样一点重量
[00:03:55 - 00:03:57] 这个片子可以稍微垫大一点
[00:03:57 - 00:03:59] 垫的太小了吧
[00:03:59 - 00:04:03] 垫个一公斤后的
[00:04:03 - 00:04:05] 1.5的那种黄色的片子
[00:04:05 - 00:04:09] 可以
[00:04:09 - 00:04:10] 重心刻意助理一下
[00:04:10 - 00:04:12] 其实还是不错的
[00:04:12 - 00:04:15] 明天潘德普是全程吗
[00:04:15 - 00:04:16] 对的
[00:04:16 - 00:04:19] 除非我计划上面写的是
[00:04:19 - 00:04:20] 西上
[00:04:20 - 00:04:21] 比如说很潘德普
[00:04:21 - 00:04:22] 不然的话
[00:04:22 - 00:04:23] 如果我只写潘德普的话
[00:04:23 - 00:04:24] 就是全程
