[00:00:01 - 00:00:03] 好,来看一下今天的训练
[00:00:04 - 00:00:06] 应该做成了挺直
[00:00:07 - 00:00:13] 可以啊
[00:00:13 - 00:00:15] 今天膝盖打开舒服多了
[00:00:15 - 00:00:16] 这多少
[00:00:23 - 00:00:28] 可以
[00:00:28 - 00:00:30] 你这个做的比较轻的话,你就加一点
[00:00:31 - 00:00:33] 现在支撑没有什么毛病
[00:00:33 - 00:00:36] 你只需要注意下端的时候,下背别上膝盖打开
[00:00:36 - 00:00:38] 把宽做硬了
[00:00:38 - 00:00:40] 就好了
[00:00:40 - 00:00:42] 这个是这个
[00:00:42 - 00:00:43] 这个失败了
[00:00:43 - 00:00:45] 你看你脚掌的外侧
[00:00:45 - 00:00:47] 你看你脚掌的外侧
[00:00:48 - 00:00:50] 脚掌的外侧
[00:00:50 - 00:01:00] 是不是离地了
[00:01:00 - 00:01:03] 才有,对,这个还不错啊
[00:01:03 - 00:01:05] 所以你会发现像这种失败的
[00:01:05 - 00:01:06] 都是因为那个
[00:01:06 - 00:01:08] 足足足
[00:01:08 - 00:01:10] 足外发现有点塌陷
[00:01:10 - 00:01:14] 所以一定要,这个又差点掉了
[00:01:14 - 00:01:16] 这个又是膝盖没打开
[00:01:16 - 00:01:18] 一会往前一会往后
[00:01:18 - 00:01:20] 你知道这个位置膝盖再开始往后撤的
[00:01:21 - 00:01:24] 要是这重心差一点就
[00:01:24 - 00:01:25] 撑不穩
[00:01:25 - 00:01:29] 这个还不错
[00:01:29 - 00:01:33] 你平常没事的时候
[00:01:33 - 00:01:35] 你就凶趴着墙去做
[00:01:35 - 00:01:37] 去做那个
[00:01:37 - 00:01:39] 深蹲
[00:01:39 - 00:01:41] 这里贴的墙,凶贴的墙
[00:01:41 - 00:01:43] 能蹲到哪蹲到哪
[00:01:43 - 00:01:45] 还不轻滑趴
[00:01:45 - 00:01:50] 你只要把这点搞定了这个抓局
[00:01:50 - 00:01:52] 下端抓就是抓的
[00:01:52 - 00:01:53] 会
[00:01:53 - 00:02:01] 抓的非常的轻松
[00:02:01 - 00:02:03] 挺直的话,每一组的第二个
[00:02:03 - 00:02:04] 在
[00:02:04 - 00:02:06] 灯收腿的时候
[00:02:06 - 00:02:09] 钢铃要走直线
[00:02:09 - 00:02:10] 你这个收腿的时候
[00:02:10 - 00:02:12] 钢铃没有往上走
[00:02:12 - 00:02:17] 钢铃有点偏厚
[00:02:17 - 00:02:18] 你从侧面的钢铃轨迹
[00:02:18 - 00:02:20] 应该是可以看得到的
[00:02:20 - 00:02:21] 测的一步
[00:02:21 - 00:02:23] 拿138KG
[00:02:23 - 00:02:24] OK
[00:02:24 - 00:02:31] 不错
[00:02:31 - 00:02:33] 45KG,这样,这样的吧
[00:02:33 - 00:02:35] 这是卡片吗
[00:02:35 - 00:02:37] 我都不知道你有那么猛
[00:02:37 - 00:02:44] 145是被送了
[00:02:44 - 00:02:45] 就是国神的
[00:02:45 - 00:02:47] 国神状态很好
[00:02:47 - 00:02:48] 但是这个数据机的能力
[00:02:48 - 00:02:53] 有点跟不上
[00:02:53 - 00:02:55] 这个力量是可以的
[00:02:55 - 00:02:57] 硬拉至少抓到90KG
[00:02:57 - 00:02:58] 抓到85KG之前
[00:02:58 - 00:03:00] 它都不扯不够用
[00:03:00 - 00:03:06] 这个能力是远远一出
