[00:00:00 - 00:00:02] 好,来看一下今天的训练
[00:00:02 - 00:00:04] 每天抓的感觉不一样
[00:00:04 - 00:00:06] 就代表现在在改动做的中间
[00:00:06 - 00:00:08] 老的忘记了新的还不会
[00:00:08 - 00:00:09] 这个是很正常的现象
[00:00:09 - 00:00:11] 而且是好事情
[00:00:11 - 00:00:14] 就按照我们说的慢慢的把正确的体感建立了之后
[00:00:14 - 00:00:16] 然后后面就突然一下会抓了
[00:00:16 - 00:00:18] 固定住了
[00:00:18 - 00:00:20] 今天挺举做的不错
[00:00:20 - 00:00:21] 支撑很干脆
[00:00:21 - 00:00:34] 最后一个核心有点松啊
[00:00:34 - 00:00:38] 也不能说核心松,就是宽有点歪
[00:00:48 - 00:00:50] 这一个郁顿有点卡
[00:00:50 - 00:00:52] 不管是宽弯还是你的那个
[00:00:52 - 00:00:54] 郁顿的时候卡一下
[00:00:54 - 00:00:56] 主要的原因就是郁顿的这个时候
[00:00:56 - 00:00:57] 你的肚子没收紧
[00:00:57 - 00:00:59] 挺胸的时候把肚子收紧
[00:00:59 - 00:01:01] 然后再去郁顿上松分腿
[00:01:01 - 00:01:03] 包括支撑支撑的分腿的
[00:01:03 - 00:01:05] 分腿支撑的时候肚子也要收紧
[00:01:05 - 00:01:09] 这样的话上肢也能做得更快更硬
[00:01:09 - 00:01:11] 然后屈膽也能做得更好
[00:01:13 - 00:01:17] 其他的都没问题
[00:01:18 - 00:01:25] 郁顿上松的节奏很好
[00:01:25 - 00:01:26] 前蹲是对的
[00:01:26 - 00:01:27] 是五个吗
[00:01:27 - 00:01:31] 可以
[00:01:33 - 00:01:37] 最后一个也没变形啊
[00:01:37 - 00:01:38] 早上趴在吃饭训练
[00:01:38 - 00:01:40] 因为是他我才没听好
[00:01:40 - 00:01:43] 今天的挺举就肚子有点软
[00:01:43 - 00:01:45] 肚子有点松
[00:01:45 - 00:01:47] 动作其实表现的还不错
[00:01:47 - 00:01:56] 前蹲是对的
[00:01:56 - 00:02:10] 没问题
[00:02:10 - 00:02:13] 今天膝盖打开了
[00:02:13 - 00:02:14] 下蹲的时候
[00:02:14 - 00:02:18] 这个挺髋有点着急
[00:02:18 - 00:02:20] 导致了二段拉的时候重心有点偏
[00:02:20 - 00:02:22] 重心有点往前跑
[00:02:22 - 00:02:23] 这个是对的
[00:02:23 - 00:02:26] 但这个启动的时候有点刮小腿
[00:02:26 - 00:02:28] 深蹲有点
[00:02:29 - 00:02:32] 所有的你现在刚开始的做的时候呢
[00:02:32 - 00:02:37] 你想一想
[00:02:38 - 00:02:41] 今天发力支撑膝盖打开都没啥问题
[00:02:41 - 00:02:47] 你下次做抓据预备姿势的时候呢
[00:02:48 - 00:02:51] 膝盖打开收髋没有问题
[00:02:51 - 00:02:53] 在挺胸的时候就是挺胸
[00:02:53 - 00:02:55] 他有两种主观意识
[00:02:55 - 00:02:57] 第一种呢就是
[00:02:57 - 00:02:59] 头往后背往后眼
[00:02:59 - 00:03:02] 这种呢就是容易导致臀胃压的低
[00:03:02 - 00:03:04] 这样启动就容易刮小腿
[00:03:04 - 00:03:06] 第二种体感呢就是说在
[00:03:06 - 00:03:08] 预备姿势的时候想的是胸往前侧
[00:03:08 - 00:03:10] 就好比是前面
[00:03:10 - 00:03:13] 你去干前面五厘米左右有一面墙
[00:03:13 - 00:03:15] 然后你再做预备姿势的时候
[00:03:15 - 00:03:17] 你想着用胸往这个墙上去贴的那种感觉
[00:03:17 - 00:03:19] 这样又能挺胸
[00:03:19 - 00:03:21] 又不会把腾味降低
[00:03:21 - 00:03:23] 自然而然也不会刮小腿
[00:03:23 - 00:03:24] 还不错
[00:03:24 - 00:03:25] 还不错
[00:03:25 - 00:03:27] 越来越好看了抓据
