[00:00:00 - 00:00:02] 好了 看一下今天的训练
[00:00:09 - 00:00:11] 走 轻松啊
[00:00:11 - 00:00:16] 膝盖撑住了 下蹲的时候别忘了
[00:00:16 - 00:00:19] 幅度不一定要蹲得那么低
[00:00:19 - 00:00:22] 但是宽一条卡紧 卡紧
[00:00:22 - 00:00:23] 想要宽卡紧
[00:00:23 - 00:00:26] 你的膝盖一定要保持在脚尖的正上方
[00:00:28 - 00:00:29] 不然蹲下去下背不稳定
[00:00:29 - 00:00:31] 就容易晃来晃去
[00:00:46 - 00:00:48] 因为你现在下蹲抓支撑啊
[00:00:48 - 00:00:51] 包括你的这个节奏都很好
[00:00:51 - 00:00:53] 就把这个宽的架子做硬一点
[00:00:53 - 00:00:54] 一点问题都没有
[00:00:54 - 00:00:56] 比如40的50都可以抓
[00:00:56 - 00:01:04] 硬拉时控制好髋部和膝关节的位置
[00:01:04 - 00:01:06] 硬拉在启动的时候重心
[00:01:06 - 00:01:09] 不要帮脚步跟跑
[00:01:09 - 00:01:12] 体感是始终用前脚的脚掌去蹬地
[00:01:12 - 00:01:14] 其他的OK
