[00:00:00 - 00:00:01] 好来看一下
[00:00:01 - 00:00:04] 今天就先
[00:00:04 - 00:00:05] 电完后不会说OK
[00:00:07 - 00:00:18] 哇你之前都从来没带过吗
[00:00:18 - 00:00:20] 你这个手腕是剑翘眼的
[00:00:21 - 00:00:24] 你翻得挺好的手指都是露出来了
[00:00:24 - 00:00:24] 才去挑拎的
[00:00:24 - 00:00:34] 而且你做挺举的时候的这个支撑
[00:00:34 - 00:00:36] 和你做挺支的支撑的手腕的状态
[00:00:36 - 00:00:37] 就是不一样
[00:00:38 - 00:00:40] 我不知道为什么会这样子
[00:00:43 - 00:00:47] 因为你挺支的时候的支撑手腕都还是挺直的
[00:00:50 - 00:00:52] 挺举的时候就是有点往后倒
[00:00:55 - 00:00:58] 所以一定是挺直挺举一个样
[00:01:00 - 00:01:01] 高翻是对的
[00:01:08 - 00:01:09] 这个玉盾没做好
[00:01:10 - 00:01:11] 这个玉盾
[00:01:16 - 00:01:17] 你看这个地方
[00:01:22 - 00:01:24] 重心后仪上送去偏前
[00:01:25 - 00:01:26] 脚掌没拆问
[00:01:43 - 00:01:45] 分腿现在都还是很干脆的
[00:01:45 - 00:01:46] 前腿也赶分了
[00:01:46 - 00:01:48] 这些都是进步的
[00:01:52 - 00:01:54] 这个支撑有点往前跑了
[00:01:58 - 00:02:00] 支撑杠练的轨迹不够直
[00:02:02 - 00:02:04] 又说10万之后做的不是个失误
[00:02:05 - 00:02:06] 看起来
[00:02:11 - 00:02:13] 你可以具体跟我说一下
[00:02:13 - 00:02:14] 就是你这个手腕
[00:02:15 - 00:02:17] 它是做哪一个动作
[00:02:17 - 00:02:19] 然后或者说是给我画一个圈圈
[00:02:20 - 00:02:20] 哪一个
[00:02:21 - 00:02:22] 腰坡感最强
[00:02:22 - 00:02:24] 或者最特别
[00:02:24 - 00:02:34] 其他的没有什么问题
[00:02:34 - 00:02:42] 深蹲很好
[00:02:43 - 00:02:44] 可以
[00:02:44 - 00:02:46] 你绑这个呼完之前
[00:02:46 - 00:02:47] 你在你的手腕上缠
[00:02:47 - 00:02:50] 大概两到三圈的肌贴
[00:02:50 - 00:02:52] 然后外面再绑这个呼完
[00:02:52 - 00:02:54] 固定效果会更强
