[00:00:00 - 00:00:02] 好了我看一下今天的训练
[00:00:03 - 00:00:04] 翘脚肩
[00:00:05 - 00:00:09] 但是不是因为护育身体中心的
[00:00:09 - 00:00:12] 尝试打开脚掌变成外侧手里
[00:00:13 - 00:00:15] 你这样的话在预备姿势的手里
[00:00:15 - 00:00:18] 可以提前把你的脚肩的预设的方向朝外一点
[00:00:18 - 00:00:19] 不就好了吗
[00:00:23 - 00:00:26] 今天的郁敦上送停猛的
[00:00:29 - 00:00:31] 前腿再分出去
[00:00:31 - 00:00:32] 其他的没什么问题
[00:00:32 - 00:00:34] 上送的速度很好
[00:00:34 - 00:00:35] 支撑的架子也不错
[00:00:36 - 00:00:37] 如果男人在分腿的时候
[00:00:37 - 00:00:38] 把前腿再分远一点
[00:00:39 - 00:00:39] 就不错
[00:00:40 - 00:00:41] 这个动作就没啥问题
[00:00:45 - 00:00:47] 你的前腿大概再分出去
[00:00:47 - 00:00:49] 半个脚掌左右
[00:00:49 - 00:00:50] 就分好了
[00:01:00 - 00:01:00] 可以
[00:01:01 - 00:01:01] 很干脆
[00:01:03 - 00:01:04] 分开拍了
[00:01:05 - 00:01:06] OK 没问题
[00:01:09 - 00:01:10] 这个翻还不错
[00:01:10 - 00:01:11] 这个高翻没什么问题
[00:01:24 - 00:01:25] 这个郁敦没做好
[00:01:25 - 00:01:25] 60公斤
[00:01:26 - 00:01:27] 郁敦不好的主要原因
[00:01:27 - 00:01:29] 是因为在大重量的时候
[00:01:29 - 00:01:31] 你的屁股的外侧
[00:01:31 - 00:01:32] 就是你膝盖打开
[00:01:32 - 00:01:33] 扣不住
[00:01:34 - 00:01:35] 下蹲的时候是打开的
[00:01:35 - 00:01:37] 然后郁敦到底的时候
[00:01:37 - 00:01:38] 又变成朝前了
[00:01:38 - 00:01:40] 这样的话就等于是你的膝盖
[00:01:41 - 00:01:42] 化了一个圈圈
[00:01:45 - 00:01:47] 所以说膝盖打开一定要压住
[00:01:49 - 00:01:50] 这个膝盖就没有
[00:01:50 - 00:01:52] 那种上一个内旋
[00:01:52 - 00:01:53] 就是没有上一组
[00:01:53 - 00:01:54] 那个膝盖内扣的感觉
[00:01:54 - 00:01:55] 郁敦的时候
[00:01:55 - 00:01:56] 但是这个前腿没分出去
[00:02:01 - 00:02:02] 你这个就是喜欢问题
[00:02:02 - 00:02:04] 你就提前把脚尖打开一点
[00:02:04 - 00:02:04] 就行
[00:02:05 - 00:02:05] 这个
[00:02:11 - 00:02:13] 你做硬拉是不是穿平底鞋
[00:02:13 - 00:02:14] 要比穿举动鞋要硬拉
[00:02:14 - 00:02:15] 要拉得舒服
[00:02:15 - 00:02:16] 你这个就是习惯了
[00:02:16 - 00:02:18] 还是跟其实跟脚尖打开到
[00:02:19 - 00:02:20] 跟膝盖打开到也不是
[00:02:21 - 00:02:22] 有直接的关系
[00:02:24 - 00:02:26] 你下肢热身的时候可以怎么做呢
[00:02:27 - 00:02:29] 你在前脚的脚掌
[00:02:29 - 00:02:30] 踩个片子
[00:02:32 - 00:02:33] 这个片子不用很大
[00:02:33 - 00:02:34] 踩个小小的片子
[00:02:34 - 00:02:35] 就做硬拉
[00:02:35 - 00:02:36] 你看看
[00:02:36 - 00:02:37] 热身的时候
[00:02:37 - 00:02:39] 这个能拉到多少
[00:02:39 - 00:02:40] OK
