[00:00:00 - 00:00:02] 好 再看一下今天的训练
[00:00:02 - 00:00:08] 失败的
[00:00:08 - 00:00:11] 呦 多少啊
[00:00:11 - 00:00:13] 三十
[00:00:13 - 00:00:15] 三十六
[00:00:15 - 00:00:17] 不错啊
[00:00:17 - 00:00:19] 这个失败的也调得很好啊
[00:00:19 - 00:00:21] 这确实要夸张一下吧
[00:00:21 - 00:00:23] 因为现在下蹬的时候膝盖打开了
[00:00:23 - 00:00:25] 而且整个直升的进阶
[00:00:25 - 00:00:27] 是一步到位了
[00:00:27 - 00:00:28] 顺势的下蹬
[00:00:28 - 00:00:29] 至于这一个为什么掉了呢
[00:00:29 - 00:00:31] 是因为下蹬的时候重心有点偏厚了
[00:00:31 - 00:00:33] 可能是上一组重心有点偏浅
[00:00:33 - 00:00:35] 所以说往后抢了一下重心
[00:00:35 - 00:00:36] 没想抢过头了
[00:00:36 - 00:00:37] 抢到后面去了
[00:00:37 - 00:00:39] 一下子没撑住就掉了
[00:00:39 - 00:00:41] 因为这一个重心是有点偏浅的
[00:00:41 - 00:00:43] 蹬下去的时候
[00:00:43 - 00:00:45] 但是今天从发力到支撑中间的处理
[00:00:45 - 00:00:46] 都不错
[00:00:46 - 00:00:47] 至于重心偏浅偏厚的话
[00:00:47 - 00:00:49] 你只要继续的在下蹬的时候
[00:00:49 - 00:00:51] 把膝盖跟深蹬一样打开一点
[00:00:51 - 00:00:52] 那就OK了
[00:00:52 - 00:00:53] 包括高翻也是
[00:00:53 - 00:00:55] 我们最近就是主要抢
[00:00:55 - 00:00:57] 就是去强化这个膝盖
[00:00:57 - 00:00:59] 微微外展的意思
[00:00:59 - 00:01:01] 就是说你
[00:01:01 - 00:01:02] 不是说一定要打得像我一样开
[00:01:02 - 00:01:05] 就是对于你自己的舒适度
[00:01:05 - 00:01:07] 在相对舒适的前提下
[00:01:07 - 00:01:09] 膝盖适量的打开
[00:01:09 - 00:01:11] 这样能帮助你利弊所短
[00:01:11 - 00:01:12] 接连的时候更好的
[00:01:12 - 00:01:14] 把重心采稳宽延的更好的吃力
[00:01:14 - 00:01:17] 然后高翻
[00:01:17 - 00:01:27] 高翻下方的时候也是一样
[00:01:27 - 00:01:28] 在这个位置的时候
[00:01:28 - 00:01:30] 再打开一点点膝盖
[00:01:30 - 00:01:32] 这样的体感会更舒服
[00:01:32 - 00:01:34] 下方的时候重心也能采得更稳
[00:01:34 - 00:01:42] 发力贴身什么都不错
[00:01:42 - 00:01:43] 像你今天的高翻
[00:01:43 - 00:01:44] 就是接连的时候
[00:01:44 - 00:01:45] 重心有一点点紧
[00:01:45 - 00:01:47] 就是要往前走两步
[00:01:47 - 00:01:48] 是因为你的膝盖
[00:01:48 - 00:01:49] 没有一步道位打开
[00:01:49 - 00:01:51] 你看你现在膝盖的位置
[00:01:51 - 00:01:53] 和这个时候膝盖的位置是不一样的
[00:01:53 - 00:01:55] 如果说你能把这一瞬间
[00:01:55 - 00:01:57] 在分腿的那一下做出来
[00:01:57 - 00:01:58] 那就很棒了
[00:01:58 - 00:02:03] 包括下蹲也是
[00:02:03 - 00:02:04] 但是不要外展
[00:02:04 - 00:02:06] 不要做到很难受
[00:02:06 - 00:02:07] 不要就是说膝盖打开
[00:02:07 - 00:02:09] 到自己很难受的位置
[00:02:09 - 00:02:11] 那的话就反击得够了
[00:02:11 - 00:02:15] 不错
[00:02:15 - 00:02:21] 今天下蹲抓有进步
[00:02:21 - 00:02:22] 前蹲没问题
[00:02:22 - 00:02:23] 是对的
