[00:00:00 - 00:00:02] 好 來看一下今天的訓練
[00:00:02 - 00:00:04] 可能是腹肌太弱了
[00:00:04 - 00:00:05] 我看一下
[00:00:07 - 00:00:08] 確實
[00:00:08 - 00:00:10] 就是腹肌想要做硬的話
[00:00:10 - 00:00:11] 在支撐的時候
[00:00:11 - 00:00:13] 胸椎不能太過深
[00:00:15 - 00:00:16] 你努力的
[00:00:16 - 00:00:17] 要在支撐的時候
[00:00:17 - 00:00:19] 保證就是胸椎還是中立位
[00:00:19 - 00:00:21] 像你在支撐的時候
[00:00:21 - 00:00:23] 胸椎如果是伸展位的話
[00:00:23 - 00:00:25] 腰椎也是伸展位
[00:00:25 - 00:00:27] 胸椎和腰椎都是伸展位的
[00:00:27 - 00:00:28] 你的肚子這一塊
[00:00:28 - 00:00:29] 它就會被拉長
[00:00:29 - 00:00:31] 它想收集也很難
[00:00:31 - 00:00:33] 為什麼我們支撐要低頭
[00:00:33 - 00:00:34] 而不是抬頭呢
[00:00:34 - 00:00:35] 其實低頭就是
[00:00:35 - 00:00:36] 為了方便讓你
[00:00:36 - 00:00:38] 把胸腔回到中立位
[00:00:38 - 00:00:40] 不然的話你挺了個胸
[00:00:40 - 00:00:44] 低了個頭又有什麼用呢
[00:00:44 - 00:00:46] 所以低頭這個動作
[00:00:46 - 00:00:48] 它會帶動了你的整個胸
[00:00:48 - 00:00:50] 重新回到中立位
[00:00:50 - 00:00:52] 因為你在這個位置的時候
[00:00:52 - 00:00:53] 挺前扛臨的位置
[00:00:53 - 00:00:54] 它這個胸
[00:00:54 - 00:00:55] 它其實是一個
[00:00:55 - 00:00:56] 伸展的狀態
[00:00:56 - 00:00:58] 胸椎是一個打開的狀態
[00:00:58 - 00:00:59] 你不可能說在支撐的時候
[00:00:59 - 00:01:01] 也去保持這個胸椎
[00:01:01 - 00:01:02] 是打開的狀態的
[00:01:02 - 00:01:03] 這樣明顯不合理
[00:01:03 - 00:01:05] 所以說抬頭和低頭
[00:01:05 - 00:01:07] 它主要是帶動了胸椎
[00:01:07 - 00:01:09] 所以後面支撐的時候
[00:01:09 - 00:01:10] 多注意一下低頭
[00:01:10 - 00:01:12] 我們從胸上面去下功夫
[00:01:12 - 00:01:14] 低頭的一瞬間
[00:01:14 - 00:01:15] 能把胸回到中立位
[00:01:15 - 00:01:16] 這樣的話
[00:01:16 - 00:01:17] 你正確的感覺
[00:01:17 - 00:01:19] 就是在支撐的時候
[00:01:19 - 00:01:20] 你的背
[00:01:20 - 00:01:22] 上斜方和三角肌那一塊
[00:01:22 - 00:01:24] 會感覺收得非常的緊
[00:01:24 - 00:01:25] 那就對了
[00:01:25 - 00:01:30] 今生蹲是210磅
[00:01:30 - 00:01:32] 210磅才100公斤
[00:01:32 - 00:01:34] 蹲得這麼重嗎
[00:01:34 - 00:01:36] 還接個反彈
[00:01:36 - 00:01:38] 第二個就有捏製了
[00:01:38 - 00:01:44] 想一想
[00:01:44 - 00:01:49] 像現在對抗道理還不錯
[00:01:49 - 00:01:57] 100公斤3個
[00:01:57 - 00:02:03] 對你目前的成績來說差不多
[00:02:03 - 00:02:05] 但是確實最近的腿
[00:02:05 - 00:02:07] 如果要到年底長的話
[00:02:07 - 00:02:10] 我感覺還需要多做一下容量
[00:02:10 - 00:02:14] 你要做5個的這種
[00:02:14 - 00:02:18] 100公斤
[00:02:18 - 00:02:19] 你可以做5個一組嗎
[00:02:19 - 00:02:23] 如果不可以的話
[00:02:23 - 00:02:25] 就95左右
[00:02:25 - 00:02:30] 團體拉是對的
