[00:00:01 - 00:00:03] 好来看一下今天的训练
[00:00:03 - 00:00:04] 怎么回事啊
[00:00:05 - 00:00:07] 有 这个锁窝掐的吧
[00:00:08 - 00:00:12] 抓了三十五不需要抓住
[00:00:16 - 00:00:26] 宽音拉站着了他也撞吃骨的
[00:00:28 - 00:00:30] 也撞吃骨的只不过没有抓住
[00:00:30 - 00:00:32] 或者说没有速拉撞得那么快
[00:00:32 - 00:00:34] 只微微的碰一下
[00:00:34 - 00:00:41] 可以啊
[00:00:41 - 00:00:49] 这个第二个做的不太好
[00:00:51 - 00:00:52] 第二个主要不好的原因呢
[00:00:52 - 00:00:55] 是因为在分腿出走的时候不同步（可能是指髋膝踝伸展不一致）
[00:00:55 - 00:00:59] 这个主要的原因是出走太慢了
[00:01:00 - 00:01:01] 包括你刚刚跟我反响的
[00:01:01 - 00:01:03] 就是今天框框砸锁骨
[00:01:04 - 00:01:05] 我们在接铃的那一瞬间呢
[00:01:05 - 00:01:07] 叫四点一线
[00:01:07 - 00:01:08] 就是两边的锁骨那一侧
[00:01:08 - 00:01:10] 加两边的三角机四个点
[00:01:10 - 00:01:11] 你想一想
[00:01:11 - 00:01:12] 这四个点
[00:01:12 - 00:01:15] 同时去承受钢铃的重量
[00:01:15 - 00:01:17] 那三角机怎么样去碰得到呢
[00:01:18 - 00:01:19] 那也就是说
[00:01:19 - 00:01:20] 只有你的走关节抬起来
[00:01:20 - 00:01:22] 你的三角机才能碰得到钢铃
[00:01:23 - 00:01:25] 如果说你出走的速度越慢
[00:01:25 - 00:01:27] 三角机碰到钢铃的速度就越慢
[00:01:27 - 00:01:29] 那钢铃就只压在两个锁骨上
[00:01:29 - 00:01:30] 就框框砸
[00:01:31 - 00:01:32] 所以出走出快一点
[00:01:32 - 00:01:35] 它能更快速度的让三角机去碰到钢铃
[00:01:35 - 00:01:36] 这样的话呢
[00:01:36 - 00:01:39] 能很好的是分担锁骨的压力
[00:01:39 - 00:01:40] 就不容易砸了
[00:01:41 - 00:01:42] 解决这个点你只需要就是
[00:01:42 - 00:01:43] 把出走做快一点
[00:01:43 - 00:01:45] 这样的话不但不砸锁骨
[00:01:45 - 00:01:47] 而且还能让你的分腿和锁骨
[00:01:48 - 00:01:50] 让你的分腿和那个
[00:01:50 - 00:01:51] 出走坐针同步
[00:01:51 - 00:01:52] 坐的一样快
[00:02:03 - 00:02:04] 吃有点那个
[00:02:04 - 00:02:17] 往后掰呀
[00:02:18 - 00:02:19] 不应该往后掰
[00:02:19 - 00:02:27] 这个好一点
[00:02:29 - 00:02:30] 就是紧后的
[00:02:30 - 00:02:32] 它其实动作的技术
[00:02:32 - 00:02:34] 是比紧前要简单的
[00:02:35 - 00:02:37] 因为紧后的钢铃路线非常的直
[00:02:38 - 00:02:40] 因为支撑就是在紧后的正上方
[00:02:41 - 00:02:43] 所以说你钢铃放在紧后的时候
[00:02:43 - 00:02:45] 就是上送手臂往正上方
[00:02:45 - 00:02:46] 就快速升直身
[00:02:46 - 00:02:47] 那就是很好的支撑
[00:02:48 - 00:02:49] 就不要刻意的在想的
[00:02:49 - 00:02:50] 去往后掰呀什么的
[00:02:50 - 00:02:56] 其他的没问题
