[00:00:01 - 00:00:02] 哈喽
[00:00:02 - 00:00:05] 水费
[00:00:05 - 00:00:06] 大姐五十二岁
[00:00:06 - 00:00:07] 尬尬猛
[00:00:07 - 00:00:08] 这是大姐吗
[00:00:08 - 00:00:10] 看起来像是大哥
[00:00:13 - 00:00:19] 不过看起来就是游镜
[00:00:19 - 00:00:21] 真的是一个管带出来的
[00:00:21 - 00:00:24] 都是一个模子的动作
[00:00:24 - 00:00:26] 你们两个人的动作不能说像
[00:00:26 - 00:00:27] 只能说一模一样
[00:00:28 - 00:00:29] 看一下
[00:00:29 - 00:00:35] 架子是有的
[00:00:35 - 00:00:36] 站起来也轻松
[00:00:36 - 00:00:38] 其实你还有量
[00:00:38 - 00:00:40] 重心的话比之前要好一点
[00:00:41 - 00:00:43] 脚掌虽然说有点踩不稳
[00:00:43 - 00:00:44] 但是槓0没有歪
[00:00:44 - 00:00:46] 槓0相上的轨迹还是可以的
[00:00:46 - 00:00:48] 所以说这个重心对于你来说
[00:00:48 - 00:00:50] 就是不是大问题
[00:00:50 - 00:00:51] 算是一个小问题
[00:00:52 - 00:00:53] 能注意一下更好
[00:00:53 - 00:00:55] 不注意的话
[00:00:55 - 00:00:56] 做翻的话其实影响不大
[00:00:56 - 00:00:58] 主要是做抓住的影响大
[00:00:59 - 00:01:01] 是应该也是对的
[00:01:01 - 00:01:02] 可以
[00:01:03 - 00:01:03] 可以的
[00:01:03 - 00:01:05] P2能有这个动作质量
[00:01:05 - 00:01:06] 还是硬站
[00:01:06 - 00:01:07] 架子也没松
[00:01:07 - 00:01:08] 就代表还有量往上走
