[00:00:00 - 00:00:04] 开始了说一下今天的训练
[00:00:04 - 00:00:08] 这么认真把视频全部剪在一起
[00:00:08 - 00:00:09] 不用剪到一起
[00:00:09 - 00:00:11] 就练一个5就可以了
[00:00:11 - 00:00:14] 今天的高抓注意三个问题
[00:00:14 - 00:00:17] 第一个问题就是你的预备姿势
[00:00:17 - 00:00:19] 你在预备姿势这个阶段的时候
[00:00:19 - 00:00:21] 你一定要注意的就是
[00:00:21 - 00:00:28] 剪到一起可能不太好暂停
[00:00:28 - 00:00:30] 在预备姿势这个位置的时候
[00:00:30 - 00:00:34] 你一定要记得把重心踩在前脚的脚掌的位置
[00:00:34 - 00:00:35] 不要踩在这里
[00:00:35 - 00:00:37] 不然的话你脚指头一翘
[00:00:37 - 00:00:39] 把重心往后一移
[00:00:39 - 00:00:40] 这个手臂你看一下
[00:00:40 - 00:00:42] 它是不是往后夹了
[00:00:42 - 00:00:43] 因为重心在后面
[00:00:43 - 00:00:44] 槓铃肯定也会在后面
[00:00:44 - 00:00:45] 它升宽就慢了
[00:00:45 - 00:00:46] 所以说第一个是要注意
[00:00:46 - 00:00:48] 预备姿势和启动的时候
[00:00:48 - 00:00:49] 你的重心第二就是
[00:00:49 - 00:00:50] 注意手臂要防松
