[00:00:00 - 00:00:06] 好來看一下今天的訓練50向60
[00:00:06 - 00:00:08] 那就50座
[00:00:08 - 00:00:11] 50重如果還要重的話就45座
[00:00:11 - 00:00:16] 對今天感覺送不起來
[00:00:16 - 00:00:18] 熱身感覺怎麼都送不起來
[00:00:18 - 00:00:27] 不太對勁
[00:00:27 - 00:00:28] 浴冬還可以
[00:00:28 - 00:00:29] 這個還不錯
[00:00:29 - 00:00:32] 但是上送的高度感覺有所欠缺
[00:00:32 - 00:00:34] 上送
[00:00:34 - 00:00:37] 這個調靈注意安全
[00:00:37 - 00:00:38] 調靈的時候挺胸可以
[00:00:38 - 00:00:46] 但是核心別送
[00:00:46 - 00:00:48] 今天支撐的肩膀有熱身
[00:00:48 - 00:00:49] 熱身熱熱猜嗎
[00:00:49 - 00:00:56] 還有呢就在分腿的時候
[00:00:56 - 00:00:58] 那當然也可能是
[00:00:58 - 00:01:01] 送不起來導致前腿育得不會分出去
[00:01:01 - 00:01:04] 就是膝蓋是絕對絕對
[00:01:04 - 00:01:06] 不可以超过脚踝的
[00:01:06 - 00:01:12] 這個地方是不可以超过脚踝的
[00:01:14 - 00:01:25] 硬拉可以
[00:01:36 - 00:01:41] 可以100公斤
[00:01:41 - 00:01:47] 輕鬆沒什麼問題
