[00:00:00 - 00:00:02] 好了看一下今天的虚拗
[00:00:08 - 00:00:10] 今天的包装发力整体是对的
[00:00:11 - 00:00:12] 然后支撑的时候呢
[00:00:12 - 00:00:16] 记得你这个时候手腕槓铃要继续向上走
[00:00:16 - 00:00:19] 不要为了进阶而让你的槓铃往后甩
[00:00:19 - 00:00:20] 一甩甩过头了
[00:00:20 - 00:00:22] 撑的位置过于靠后了
[00:00:22 - 00:00:27] 撑到这个位置就行了
[00:00:27 - 00:00:28] 不要再往后掰了
[00:00:30 - 00:00:32] 一切以槓铃的轨迹为主
[00:00:32 - 00:00:34] 不管是发力还是整体还是支撑
[00:00:34 - 00:00:36] 它将槓铃永远是贴着重心线往上走
[00:00:39 - 00:00:40] 就到这里都很好
[00:00:40 - 00:00:42] 就最后那么一下都是往后
[00:00:50 - 00:00:52] 其他的OK的没问题
[00:00:53 - 00:00:55] 西装高抓的重量下次被注意一下
[00:00:55 - 00:00:56] 黑黑的片斜开来清楚啊
[00:00:56 - 00:00:57] 包括挺肌也是
[00:01:02 - 00:01:03] 顶起来收腿
[00:01:03 - 00:01:04] 挺肌有进步啊
[00:01:04 - 00:01:08] 顶起来收腿
[00:01:08 - 00:01:09] 可以
[00:01:13 - 00:01:14] 这个就在前了
[00:01:14 - 00:01:15] 对啊这个没法起来的
[00:01:16 - 00:01:18] 刚刚那个为什么起不来了
[00:01:18 - 00:01:20] 因为你的槓铃在后面宽在前面
[00:01:20 - 00:01:21] 你的槓铃很宽
[00:01:21 - 00:01:22] 肯定是在一条线上
[00:01:22 - 00:01:23] 这样才能起得来
[00:01:24 - 00:01:25] OK
