[00:00:00 - 00:00:02] 好了 看一下今天的训练
[00:00:02 - 00:00:03] 手腕还是不舒服
[00:00:03 - 00:00:04] 抓字不舒服
[00:00:05 - 00:00:07] 哪哪都不好了
[00:00:12 - 00:00:14] 手腕的治疗要做积极一点
[00:00:15 - 00:00:18] 不然的话老是好时好时坏的
[00:00:18 - 00:00:19] 不太影响训练了
[00:00:20 - 00:00:21] 好个两个星期
[00:00:21 - 00:00:22] 坏了两个星期
[00:00:25 - 00:00:26] 翻的动作是对的
[00:00:34 - 00:00:36] 上挺的动作也挺干脆的
[00:00:37 - 00:00:40] 就是后腿还是蹬得太直了
[00:00:42 - 00:00:44] 后腿要稍微的弯一点点
[00:00:44 - 00:00:47] 后腿弯一点的话呢
[00:00:47 - 00:00:49] 它的骨盆就能挣一点
[00:00:49 - 00:00:50] 骨盆挣一点的话
[00:00:50 - 00:00:51] 核心就能硬一点
[00:00:52 - 00:00:53] 都不容易往前跑
[00:00:54 - 00:01:02] 这个骨盆就歪掉了
[00:01:04 - 00:01:06] 怎么每次挺的时候
[00:01:06 - 00:01:08] 有一个人在前面走过去
[00:01:08 - 00:01:20] 现在分腿支撑节奏是对的
[00:01:20 - 00:01:21] 支撑速度可以
[00:01:23 - 00:01:24] 然后后面戴手
[00:01:24 - 00:01:25] 戴户外的话
[00:01:25 - 00:01:27] 不要戴这种软布户外
[00:01:27 - 00:01:28] 这种户外一点都没有
[00:01:29 - 00:01:30] 戴硬户外
[00:01:30 - 00:01:31] 牛皮户外
[00:01:31 - 00:01:36] 或者说那个棉布户外
[00:01:36 - 00:01:37] 但户外之前
[00:01:37 - 00:01:39] 里面对着手腕铲两层机贴
[00:01:39 - 00:01:41] 然后外面再套个户外
[00:01:41 - 00:01:42] 效果会好很多
