[00:00:01 - 00:00:03] 锁完油里它没办法装饰
[00:00:05 - 00:00:07] 这个挺举
[00:00:07 - 00:00:16] 锁完压力大肯定是有问题的
[00:00:23 - 00:00:25] 这个挺举分腿做的不错
[00:00:26 - 00:00:27] 有进步
[00:00:28 - 00:00:29] 核心也是硬的
[00:00:30 - 00:00:32] 这个就只要注意两个点
[00:00:32 - 00:00:34] 第一呢就是预端的时候稍微做稳一点
[00:00:34 - 00:00:36] 你钢铃自然下落
[00:00:36 - 00:00:39] 自然落体的速度都没你人下去的速度快呢
[00:00:40 - 00:00:41] 砸了一下到底的时候
[00:00:43 - 00:00:48] 然后第二个的话呢就是凶平常多的在压力拉伸一下
[00:00:48 - 00:00:51] 手腕所所有的手腕压力大都是因为肩外
[00:00:51 - 00:00:56] 肩肩肩关节的支撑的这个活动度比较差
[00:01:05 - 00:01:07] 这个挺举就没有上一个挺举的好
[00:01:07 - 00:01:11] 因为前腿没有那没有第一第一个视频的前腿分的大
[00:01:15 - 00:01:16] 但总体还不错
[00:01:17 - 00:01:18] 这都干什么都是对的
[00:01:23 - 00:01:24] 这个手腕确实往后盖了
[00:01:25 - 00:01:27] 你做这一堆的压力感觉大不大
[00:01:33 - 00:01:34] 特别是在收腿的时候
[00:01:35 - 00:01:39] 这个整个手腕在肩膀的这个整个钢铃全在肩膀的后面看来没
[00:01:41 - 00:01:41] 嗯
[00:01:43 - 00:01:45] 这个还是要注意一下这个支撑的位置
[00:01:47 - 00:01:51] 就是在支撑的时候钢铃和你的肩关节是要在一条线上
[00:01:54 - 00:01:55] 然后平常肩膀都压一样
[00:01:56 - 00:01:57] 手破了
[00:01:58 - 00:02:00] 手破了还继续练啊
[00:02:01 - 00:02:02] 一厘可讲
[00:02:03 - 00:02:04] 这个钢铃就送错了
[00:02:05 - 00:02:07] 这个钢铃伤送的轨迹要往上送
[00:02:07 - 00:02:11] 你这个伤送的时候是往后伤送往正伤送
[00:02:11 - 00:02:13] 伤送低头进阶
[00:02:16 - 00:02:19] 抓直是对的抓直在分腿的时候
[00:02:21 - 00:02:22] 有点往前跳啊
[00:02:22 - 00:02:25] 往两边往两边分腿不要往前跳
[00:02:27 - 00:02:29] 往前跳的话钢铃的轨迹做不直了
[00:02:41 - 00:02:42] 抓直的手腕就可以
[00:02:42 - 00:02:45] 抓直的指手腕支撑的时候手腕是正的
[00:02:46 - 00:02:48] 我不用弹了一带都一点点选不了
[00:02:50 - 00:02:51] 所以说这个5度
[00:02:52 - 00:02:54] 如果你非常努力只能做到5度
[00:02:54 - 00:02:56] 那就在这个5度的位置停留
[00:02:56 - 00:02:58] 每一次都达到最大的幅度就行
[00:02:58 - 00:02:59] 慢慢做的
[00:02:59 - 00:03:02] 这个就是因为你的肩内旋太紧肩外旋太弱
[00:03:03 - 00:03:04] 多练练
