[00:00:00 - 00:00:02] 好 来看一下今天的训练
[00:00:02 - 00:00:04] 宽一拉 做成斩一拉 没关系
[00:00:04 - 00:00:05] 都差得到
[00:00:05 - 00:00:18] 灯斩没做完呀
[00:00:18 - 00:00:22] 这是发力的一瞬间
[00:00:22 - 00:00:23] 你的膝盖没有
[00:00:23 - 00:00:25] 只做了一半
[00:00:25 - 00:00:38] 不过轻重了灯斩没做完
[00:00:38 - 00:00:39] 问题不是特别大
[00:00:39 - 00:00:44] 不过现在灯的方向一定要正确
[00:00:44 - 00:00:46] 如果说你灯不正
[00:00:46 - 00:00:47] 灯只做一半
[00:00:47 - 00:00:49] 钢铃还能贴身走的话
[00:00:49 - 00:00:50] 是可以的
[00:00:50 - 00:00:52] 因为毕竟是轻重的练技术嘛
[00:00:53 - 00:00:55] 但如果说因为你的灯斩不充分
[00:00:55 - 00:00:57] 从而导致了你的屁股更多的用力
[00:00:57 - 00:01:00] 让你的动作往前跳了半步
[00:01:00 - 00:01:10] 这样就不好了
[00:01:10 - 00:01:12] 然后支撑的平衡感
[00:01:12 - 00:01:14] 撑在这个地方是对的
[00:01:14 - 00:01:16] 接下来钢铃和你的肩膀的位置
[00:01:16 - 00:01:18] 要始终保持在一个对位的
[00:01:18 - 00:01:19] 保持在现在这个位置
[00:01:19 - 00:01:21] 往下蹲就可以了
[00:01:21 - 00:01:26] 不需要再把钢铃往后掰了
[00:01:26 - 00:01:29] 然后分腿不要伤膝
[00:01:29 - 00:01:35] 如果说老实往前跳的话
[00:01:35 - 00:01:36] 你练一下这个分腿
[00:01:36 - 00:01:38] 这个分腿不要伤皱
[00:01:38 - 00:01:43] 就用15公斤在热身的时候去练一下
[00:01:43 - 00:01:45] 小心别崴到脚
[00:01:45 - 00:01:55] 练个薄一点的片子就好了
[00:01:55 - 00:01:57] 这个就是你说的那个
[00:01:57 - 00:02:01] 65棒吗
[00:02:01 - 00:02:06] 这是65棒
[00:02:06 - 00:02:07] 这个支撑是对的
[00:02:07 - 00:02:09] 但是发力还是会有一点点往前跳
[00:02:09 - 00:02:10] 按照我刚刚跟你说的
[00:02:10 - 00:02:15] 那个分腿具体热身
[00:02:15 - 00:02:18] 不过能让你发力的时候
[00:02:18 - 00:02:20] 伸展做得再
[00:02:20 - 00:02:22] 膝盖往上伸的再直一点
[00:02:22 - 00:02:24] 当然你发力的一瞬间
[00:02:24 - 00:02:25] 虽然说我要求是膝盖伸的直
[00:02:25 - 00:02:27] 你的主观是想的是大腿
[00:02:27 - 00:02:29] 整体一起往上伸
[00:02:29 - 00:02:35] 不要单独的去想膝盖的这一个关节
[00:02:35 - 00:02:36] 整个腿部发力的时候
[00:02:36 - 00:02:39] 完全伸直伸上去就行了
[00:02:39 - 00:02:40] 这个是可以的
[00:02:40 - 00:02:43] 这个膝盖比上一个要伸得充分
[00:02:43 - 00:02:45] 这个也还不错
[00:02:45 - 00:02:47] 这一组的两个伸的都是可以的
[00:02:47 - 00:02:48] 虽然说也没完全伸直
[00:02:48 - 00:02:55] 但是至少发力力给到了
[00:02:55 - 00:02:56] 这个就往后掰了
[00:02:56 - 00:02:57] 看到没
[00:02:57 - 00:02:58] 所以今天是三个要点
[00:02:58 - 00:03:00] 第一分腿往两边
[00:03:00 - 00:03:01] 第二就是发力做完整
[00:03:01 - 00:03:07] 第三支撑向上对抗
[00:03:07 - 00:03:10] 最后一组第一个是今天最好的
[00:03:10 - 00:03:12] 我看起来是
[00:03:12 - 00:03:16] 倒数第二组的那两个是最好的
[00:03:16 - 00:03:18] 这一个就是虽然说发力也还不错
[00:03:18 - 00:03:23] 但是支撑不够快
[00:03:23 - 00:03:25] 这个是最好的一个
[00:03:25 - 00:03:27] 这个支撑的速度节奏做得很干脆
[00:03:32 - 00:03:34] 路面做不干一下
[00:03:34 - 00:03:43] 膝盖往后的灯地
[00:03:43 - 00:03:46] 胜宽
[00:03:46 - 00:03:48] 如果你要做举重硬拉的话
[00:03:48 - 00:03:49] 你的正心要踩在
[00:03:49 - 00:03:53] 这个第二个魔术贴的这个位置
[00:03:53 - 00:03:54] 因为如果你用这个动作
[00:03:54 - 00:03:55] 去做高翻的话
[00:03:55 - 00:03:57] 高翻一起动脚褶就翘起来
[00:03:57 - 00:03:59] 发力还是会往前跳的
