[00:00:00 - 00:00:02] 好了看一下今天的训练
[00:00:02 - 00:00:06] 48停得穿成一位
[00:00:06 - 00:00:19] 嗯这个槓铃下落的速度还没你预顿的速度快
[00:00:19 - 00:00:22] 你自己看一下预顿的那一瞬间
[00:00:22 - 00:00:24] 槓铃还没还在原地人已经下去了
[00:00:24 - 00:00:27] 这个时候缩补都没协助槓铃
[00:00:27 - 00:00:41] 翻铃的话出走的速度稍微再快一点
[00:00:41 - 00:00:44] 出走不快他就会压手腕
[00:00:44 - 00:00:48] 出走越快他那个手腕小小小动作就会越少
[00:00:48 - 00:00:52] 今天是预顿没做好
[00:00:52 - 00:00:57] 预顿要稳一点要要那个槓铃要放稳一点
[00:00:57 - 00:01:01] 预顿的那一瞬间明显槓铃都有个支空开
[00:01:01 - 00:01:06] 这样怎么行呢都有啊分腿还可以
[00:01:06 - 00:01:21] 怎么都是这样的预顿呢
[00:01:21 - 00:01:24] 预顿压不实这样上送的话腿用不上力气
[00:01:24 - 00:01:32] 抓姿的这个膝盖就做得很好
[00:01:32 - 00:01:35] 但是预顿也是有一点顿了
[00:01:35 - 00:01:38] 下姿低预顿稳一点
[00:01:38 - 00:01:41] 然后不管是抓姿的预顿还是挺举的预顿
[00:01:41 - 00:01:44] 最重要的一点呢就是你想要预顿做稳
[00:01:44 - 00:01:48] 你要保持核心收紧保持腰椎的稳定
[00:01:48 - 00:01:59] 这样的话呢才能更好的让你让你预顿压的实压的稳
[00:01:59 - 00:02:02] 抓姿就注意下方的时候注意安全
[00:02:02 - 00:02:05] 下方缓冲有点危险
[00:02:05 - 00:02:07] 其他的这个没问题
[00:02:07 - 00:02:08] ok
