[00:00:01 - 00:00:03] 好了,看一下今天的训练
[00:00:03 - 00:00:05] Lift 10pL
[00:00:05 - 00:00:16] 还有进步的量
[00:00:16 - 00:00:19] 因为你高抓都抓了40多公斤
[00:00:19 - 00:00:21] 下蹬抓只是缺了一个熟练度
[00:00:21 - 00:00:37] 动作的阶段你就拿动作变形的凌接点的重量去做就行了
[00:00:37 - 00:00:39] 不一定非要按照这个计划上
[00:00:39 - 00:00:41] 如果说60变形了就退到55
[00:00:41 - 00:00:43] 55变形了就退到50
[00:00:43 - 00:00:45] 50做做,感觉很轻松,加个53
[00:00:45 - 00:00:49] 就加反复40带就可以了
[00:00:49 - 00:00:51] 第二个做的比第一个好
[00:00:51 - 00:00:53] 第二个支撑很干脆
[00:00:55 - 00:00:58] 再怎么样就是预端伤送失身的速度做出来了
[00:00:58 - 00:01:00] 不要犹豫
[00:01:00 - 00:01:02] 快速生辞一步到位
[00:01:02 - 00:01:05] 然后第二呢就是注意高粘的轨迹
[00:01:05 - 00:01:07] 就这一个速度做的很快
[00:01:07 - 00:01:08] 但是呢你的这个
[00:01:08 - 00:01:10] 从预端到支撑的过程当中
[00:01:10 - 00:01:12] 你的高粘的轨迹做的太歪了
[00:01:12 - 00:01:16] 你的高粘的轨迹刚刚做的应该是这样子的
[00:01:17 - 00:01:19] 这么样的一个轨迹
[00:01:19 - 00:01:22] 正确的轨迹呢应该是这样子的轨迹
[00:01:23 - 00:01:28] 直下直上的轨迹
[00:01:28 - 00:01:29] 所以预端伤送支撑的时候
[00:01:29 - 00:01:31] 保持躯干停留在原位了
[00:01:31 - 00:01:33] 不要一上送躯干就往前凑
[00:01:33 - 00:01:35] 往前趴
[00:01:35 - 00:01:53] 只要在躯干保持原位的情况下去低头就行了
[00:01:53 - 00:01:56] 抓直的话就是因为槓0本身就是放在紧后的
[00:01:56 - 00:01:58] 所以说你在快速生辞手臂的时候
[00:01:58 - 00:02:00] 你的手臂往正上方伸就行了
[00:02:00 - 00:02:03] 不需要再像紧前一样还要再去往后进个间
[00:02:04 - 00:02:06] 本身就在紧后就往
[00:02:06 - 00:02:08] 头顶的正上方,甚至快速生辞
[00:02:08 - 00:02:10] 就OK了,然后下放注意安全
[00:02:10 - 00:02:12] 当你不敢放的时候直接往地上扔
[00:02:13 - 00:02:14] 小命最重要
[00:02:14 - 00:02:22] 下端抓可以
[00:02:22 - 00:02:27] 现在下端时刻打开还不错
[00:02:27 - 00:02:29] 不过今天的下端抓稍微有点往前跳
[00:02:29 - 00:02:36] 往前跳的主要原因就是
[00:02:36 - 00:02:38] 二端拉的时候胸膠没有往上走
[00:02:38 - 00:02:40] 我这样子给你发了个视频
[00:02:40 - 00:02:41] 别忘了
[00:02:42 - 00:02:43] 二端拉引擎的视频
[00:02:43 - 00:02:54] 胸部往上走最后
[00:02:54 - 00:02:56] 二端拉重心前移
[00:02:56 - 00:02:57] 就容易往前跳
[00:02:57 - 00:03:03] 这样的话往上走的时候确保你的整个脚
[00:03:03 - 00:03:05] 它仍然是才稳的
[00:03:05 - 00:03:06] OK
