[00:00:00 - 00:00:02] 好了看一下今天的距离
[00:00:02 - 00:00:10] 看看今天抓35怎么
[00:00:11 - 00:00:12] 34
[00:00:12 - 00:00:19] 这不挺好的吗
[00:00:19 - 00:00:34] 现在34做的还挺稳定的
[00:00:34 - 00:00:36] 这个只撑稍微一点往后掰
[00:00:36 - 00:00:41] 从发力到这个位置都是对的
[00:00:41 - 00:00:42] 从这里继续往上的时候
[00:00:42 - 00:00:44] 搞定往上走
[00:00:44 - 00:00:46] 不要为了进减去往后背的
[00:00:47 - 00:00:57] 不然只撑它就有点慢
[00:00:57 - 00:00:58] 握住我宽一点
[00:00:58 - 00:01:06] 手腕的压力会小一些吗
[00:01:06 - 00:01:07] 再去比较舒服
[00:01:07 - 00:01:26] ok下单抓一个
[00:01:26 - 00:01:32] 对的没问题
[00:01:32 - 00:01:35] 地面启动的这个发力有点着急了
[00:01:35 - 00:01:36] 一着急的话
[00:01:36 - 00:01:38] 你刚刚在过期的时候
[00:01:38 - 00:01:39] 一着急就喊凶
[00:01:39 - 00:01:45] 发力再晚一点
[00:01:45 - 00:01:46] 不然你看这个
[00:01:47 - 00:01:48] 架子就没有了
[00:01:48 - 00:01:50] 去干就不够硬了
[00:01:50 - 00:01:51] ok
