[00:00:00 - 00:00:04] 好了看一下今天是最好的分腿底
[00:00:04 - 00:00:16] 前腿分出去了
[00:00:16 - 00:00:26] 这个是不错的
[00:00:26 - 00:00:28] 有一个很重要的要点
[00:00:28 - 00:00:29] 就是在上送的那一瞬间
[00:00:29 - 00:00:34] 从这个地方到锅下巴那一瞬间的轨迹
[00:00:34 - 00:00:35] 这一瞬间的轨迹
[00:00:35 - 00:00:37] 钢链的轨迹绝大部分
[00:00:37 - 00:00:40] 直接决定了你上送的这个支持的位置
[00:00:40 - 00:00:45] 快推进去
[00:00:45 - 00:00:46] 实力推是对的
[00:00:46 - 00:00:53] 头动其实问题不大
[00:00:53 - 00:00:56] 你优先把钢链轨迹做出就行了
[00:00:56 - 00:00:59] 你这个是训练后座
[00:00:59 - 00:01:02] 还是训练前座的
[00:01:02 - 00:01:03] 像这种不进阶的实力推
[00:01:03 - 00:01:05] 到进阶的实力推是训练
[00:01:05 - 00:01:08] 挺举训练之前做
[00:01:08 - 00:01:09] 上送
[00:01:09 - 00:01:11] 而且就是预讯上送的时候
[00:01:11 - 00:01:14] 你要把实力推的那种钢链轨迹给做出来
[00:01:14 - 00:01:16] 应该你实力推轨迹
[00:01:16 - 00:01:16] 看到没
[00:01:16 - 00:01:20] 直至往上走
[00:01:20 - 00:01:24] 但是你看一下你那个跟腿挺的
[00:01:24 - 00:01:25] 跟杠铃路径的重心就有点危险
[00:01:25 - 00:01:34] 往前跳
[00:01:34 - 00:01:36] 往前跳的主要原因是
[00:01:36 - 00:01:37] 因为在硬拉阶段的时候
[00:01:37 - 00:01:39] 重心前移
[00:01:39 - 00:01:41] 你看这时候脚趾都翘起来了
[00:01:41 - 00:01:42] 重心偏厚
[00:01:42 - 00:01:44] 然后重心在边前
[00:01:44 - 00:01:46] 八粒登斩都是对的
[00:01:46 - 00:01:48] 你只要注意一下硬拉中心就行了
[00:01:48 - 00:01:56] 这个倒没什么大问题
[00:01:56 - 00:01:58] 挺凶对的
[00:01:58 - 00:02:00] 登斩也是对的
[00:02:00 - 00:02:02] 贴身转之身架子都是对的
[00:02:02 - 00:02:07] 就把重心做做直就行了
[00:02:07 - 00:02:08] 前蹲没问题
[00:02:08 - 00:02:12] 看有飞机
[00:02:12 - 00:02:16] 体感有点重是吧
[00:02:16 - 00:02:18] 看起来还不错
[00:02:18 - 00:02:20] 动作左右都是对的
[00:02:20 - 00:02:21] 没啥问题
