[00:00:03 - 00:00:07] 挺取呢就是你现在的问题是分腿的时候啊
[00:00:07 - 00:00:08] 上半身容易往前跑
[00:00:08 - 00:00:10] 重心容易往前跑
[00:00:10 - 00:00:11] 只要改善一个点
[00:00:11 - 00:00:13] 我当初上课的时候跟你说的
[00:00:13 - 00:00:15] 想要改善这个点其实也很简单
[00:00:15 - 00:00:18] 分腿的时候你把你的前腿再分大一点
[00:00:18 - 00:00:20] 把你的前腿再分远一点
[00:00:20 - 00:00:24] 你的上半身就不容易往前跑了
[00:00:24 - 00:00:26] 你挺取只要注意这一个点就行了
[00:00:26 - 00:00:28] 下次做的小偶想着
[00:00:28 - 00:00:30] 在躯干刚性够的情况下
[00:00:30 - 00:00:33] 前腿尽可能的往前分就OK了
[00:00:37 - 00:00:43] 像这个都前腿没出去啊
[00:00:43 - 00:00:49] 上送的高度什么都是够的啊
[00:00:49 - 00:00:51] 还有一个点的就是说
[00:00:51 - 00:00:55] 你的手臂的伸直和低头要同时完成
[00:00:55 - 00:00:57] 你手臂伸直之后
[00:00:57 - 00:01:02] 然后再慢慢的去低头
[00:01:02 - 00:01:04] 这个时候才才是低头到位
[00:01:04 - 00:01:05] 要一步到位啊
[00:01:05 - 00:01:07] 这个要狠一点
[00:01:07 - 00:01:09] 我感觉我有一只往上推
[00:01:09 - 00:01:11] 动作今天没有问题
[00:01:11 - 00:01:31] 路线今天做的是还不错的
[00:01:31 - 00:01:32] 这两个问题
[00:01:32 - 00:01:33] 支撑低头一步到位
[00:01:33 - 00:01:35] 然后前腿出远一点就OK了
